stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.4,62.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.79,0,0,0,11.55,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.17,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1007.41,0,0,0,1.03,0,0,0,0,1.34,0.99,341.93,0,0,0,0,0
 24-34,0,0,0,15.27,0.76,0,79.66,0,0,0,18.87,0,0,0.87,1.33,0,0,0,0,18.97,0,0,13.62,25040.98,0.75,1.97,5.49,0,0,6.18,0,0,0,5.7,2062.04,0,0,2.69,0,0
 36-46,0,0,0,19.73,2.68,0,1592.52,3.35,5.07,0,22.26,0.59,4.35,1.19,0,1.43,0,0,1.47,38.72,0.58,0,17.19,58264.49,7.8,65.63,1.2,0,0,73.32,3.04,1.17,0,0,6257.81,0,0,1.74,0,7.16
 48-58,0,0,0,148.16,3.69,0,4636.36,1.43,34.64,18.44,422.37,1.21,15.46,17.11,5.74,27.23,6.81,5.25,16.95,166.92,0,9.5,31.65,52820.49,10.11,11.89,1.24,6.64,0,40.04,0.92,1.14,14.8,0,10381.69,0,0,19.61,0,23.71
 60-70,0,0,0,23.66,0,0,3265.37,2.51,3.64,1.47,142.45,0.85,0,1.06,0,0,1.27,0,0,87.3,2.99,12.77,5.7,25633.57,6.58,1.11,16.39,0,1.13,23.28,0,0.73,0,0,5588.32,0,0,7.73,0,4.01
 72-82,0,0,0,106.15,10.97,0,2819.86,1.84,5.31,8.02,114.91,6.85,0.58,9.63,4.41,0,0.68,2.36,0,114.17,5.11,4.26,16.17,14370.18,4.03,5.27,6.03,0,0,8.3,0,12.86,0,0,1439.58,6.41,5.65,5.04,6.96,21.77
 84-94,0,0,0,60.66,13.49,0,2447.34,2.37,5.65,1.69,158.49,2.95,9.85,7.62,1.03,3.38,0.66,9.21,0,112.53,0,11.51,7.51,8933.67,5.93,0,7.29,0,0,8.32,0,2.88,0,0,1443.17,0,5.26,17.03,2.57,18.09
 96-106,0,0,2.06,75.94,13.04,1.05,1558.59,3.76,6.85,0,150.83,2.14,0,1.94,3.75,18.06,0,0,0,105.91,3.69,8.95,6.54,5536.79,0.94,4.71,2.73,0,1.01,10.01,0,0.93,0,0,470.6,2.27,1.26,8.26,3.96,1.07
108-118,0,0,0,44.04,1.93,0,1675.56,0,0,7.88,72.39,1.45,0,5.34,0,0,0,1.05,0,68.58,0,5.05,2.73,7501.53,2.61,15.16,8.68,0,0,14.78,0,0,0,0,252.72,0,1,0.99,0,1.25
120,0,0,0,109.21,6.89,0,2509.66,2.29,0,0,263.24,3.65,0,6.29,0,0,3.38,3.42,0,133.72,3.22,0,19.36,11035.33,0,0,3.92,0,3.68,7,0,1.13,0,0,193.72,0,3.07,15.8,0,19.04
