stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4.74,0,3.84,0,0,0,0,0,0
 10-12,0,31.44,0,0,0,0,0,0,0,0,0,0,0,0,13.45,0,5.7,0,0,0,0,0,0
 14-21,0,0,1.21,0,0,0,0,0,0,0,0.81,0,1.52,0,5.25,0,0,1.12,1.27,2.1,0,0,0
 24-34,0,0,0,0,0.66,0,0,0,0,0,0,0,1.28,0,22.09,0,0,2.23,0,2.66,0,0,0
 36-46,0,0,0,0,11.1,0.64,0,0,0,0,0,0,0.57,0,25.9,0,0,0,0,1.23,0,0,0
 48-58,0,0,0,0,10.69,0,0,0,1.07,0,0,0,0.44,0.69,37.06,0,0,0,0,1.68,0,0.4,0
 60-70,0,0,0,0,52.1,0,0,0,0,0,0,0,1.64,0.77,24.47,0,0,0,0,8.14,0,0,0
 72-82,0,0,0.5,0,230.83,0,0,0.78,2.63,0,0,0,4.11,0.59,58.31,0,0,0,0,10.5,0,0,0
 84-94,0.66,0,0,0,296.61,0,0,0.59,3.13,1.53,0,0,0.66,0,26.41,0,0,0,0,1.44,0,0,0
 96-106,5.6,0,2.24,0,389.32,0,0,0,12.8,0,0,0,6.51,0,30.17,2,0,0,0,5.61,0,0,0
108-118,0,0,0.78,0,377.86,0,0,0,3.48,0,0,0,2.02,1.21,41.33,0.77,0,1.12,0,4.02,0.53,0,0
120,0,0,1.03,5.63,299.58,0,2.21,0,11.52,1.31,0,3.84,14.34,0,41.32,0,0,0,0,0,0,0,6.55
