stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,408.93,187.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0
  5-6,3312.82,353.91,0,28.84,0,0,0,0,0,0,0,0,1713.04,0,0,0,0,0,0,0,0,0,189.87,13.91,0,0,13.8,0,6.27,0,0,0,0,0,0,0,0,0,0
  7-9,3551.08,27.13,0,442.24,0,0,113.07,0,0,0,0,0,30616.88,0,0,0,0,0,0,0,0,0,586.74,270.62,0,0,337.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,17.37,0,0,97.85,0,40,127.09,0,0,0,0,0,8112.11,0,0,0,0,0,0,0,0,0,434.86,169.29,0,0,74.45,0,0,0,0,18.61,0,0,0,0,0,0,0
 14-21,0,0,0,5.76,20.75,7.86,0,0,0,0,0.91,64.32,6.53,0,0,0,0,0,0,6.82,0,9.83,25.53,2.31,0,0,1.16,0,0,0,0.9,0.99,2.03,52.91,0,0,0.84,0,0
 24-34,0,0,0,1.18,3.73,0.76,2.24,0,0,0.74,0,6.27,0,0,0,0,0,0,1.09,4.29,0,1.83,32.39,0,0,0,0,0,0,0,0,8.18,0,18.29,0,0,3.54,0,0
 36-46,0,0,0,0,8.57,0,2.54,0,0,0.57,1.06,0,0,0,0,0,0,0,0,29.77,0,10.55,89.85,0,1.21,0,0,0,0,0,0,9.56,0,27.74,0,0,2.96,0,0
 48-58,0,0,0,0,9,0,18.02,0,2.11,0.99,2.03,0,0,0.44,0,0,0.39,0,1.69,98.67,0,6.85,127.43,0,0,0,0,0,0,0,0,11.23,0,70.74,0,0,0.85,0,1.08
 60-70,0,0,0,0,12.96,0,27.66,0,4.67,0,11.75,0,0,0.76,0,0,1.39,1.18,0,412.79,1.09,7.85,106.01,0,0,0,0,0,0,0,0,19.1,0,31.36,0,8.01,3.93,0.73,3.04
 72-82,0,0,0,0,10.07,0.66,50.69,0,2.82,6.58,9.34,0.61,0,0,0,0,0,0,0,967.65,37.68,21.04,186.02,0,0.91,0,0,2.79,0.71,0,0,14.36,0,103.1,0,7.21,5.96,11.13,0
 84-94,0,0,0.66,0,5.57,0,34.12,0.95,0,1.74,4.83,0,0,0.8,0.63,0.73,0,1.14,10.35,836.52,25.59,6.51,139.37,0,0,0,0,3.94,1.91,0,0,0,0,46.7,0,14.26,1.25,9.75,0
 96-106,0,0,0,0,4.31,0,28.59,0,3.23,13.6,11.3,2.84,0,7.43,2.04,0,0,5.79,0,566.23,28.49,9,130.11,0,3.25,0.64,0,17.3,2.62,5.72,0,17.32,0,18.03,0,21.6,4.19,26.31,1.22
108-118,0,0,0,0,8.84,4.18,36.96,0,1.94,9.6,10.71,5.07,0,0,0,0,0,18.13,0,688.59,36.26,13.43,188.12,1.14,0,0,0,19.23,1.87,0,0,26.47,0,2.89,0,12.19,0.68,17.5,0
120,0,0,0,0,2.29,0,13.84,0,0,19.93,29.31,1.19,0,4.91,1.09,0,0,0,0,788.42,143.26,26.44,286.32,0,0,0,0,0,0,4.99,0,3.15,0,0,1.28,0,0,47.51,0
