stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mucous,mural.cell,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature
  3-4,22.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,3.54,0,0,0
 14-21,0,0,0,5.88,1.03,0,0.81,0,0,0,0,0.81,0,2.45,0,0,0,0,0,2.19,0,0.8,3.34,0,0.99,0,0
 24-34,0,0,0,4.52,0,0,1.59,1.24,0,0,0,0,0,0,0,0,0,3.74,0,12.94,6.6,0,9.24,1.45,0,0,1.01
 36-46,0,0,0.96,1.24,0,0,0,0,0,0,0,0,0,11.08,0,0,0,0,0,6.51,5.39,0.58,30.97,0,0,0,0
 48-58,0,0,0,11.16,0,0,1.02,0.55,0,0,0,0,0,0,0,0,0,0.57,0,3.68,11.39,2.83,14,0,0,0,0
 60-70,0,0,0,0.57,0,0,0,0,0,0,0,0,7.17,0,0,0,0,0,0,7.45,6.14,2.6,9.53,0,0,0,0
 72-82,0,0.56,0,1.48,0.61,0,6.75,2.9,0.64,1.31,1.25,0,1.02,1.66,0,0,0,0,0.93,16.38,17.12,0,1.75,0,1.36,0,0
 84-94,0,0,0,5.39,0,0.87,2.27,0,0,0,0.63,0,0,0,0,0,0.63,0,0,7.34,4.97,1.23,4.35,0,0,0,0
 96-106,0,1.04,0,5.05,0,0,2.42,0,0,0,0,0,2.72,0,0,0,0,5.74,0,2.55,27.79,1.2,7.58,0,0,0,0
108-118,0,0,0,3.04,0,0,0,0,0,0.68,1.55,0,3.12,1.65,2.17,1.47,0.45,0,0,7,8.07,4.82,1.09,1.21,0,2.26,0
120,0,3.99,0,2.74,5.63,1.14,12.2,0,0,0,5.08,0,0,0,0,0,0,1.63,0,0,28.45,0,13.41,0,0,0,0
