stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,14.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,102.13,0,22.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578.2,5.46,0,0,33.86,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,73.44,1277.97,0.99,0,101.84,0,0,0,60.39,0,2.63,34.81,0,15.56,0,0,0,0,143.16,2.38,0,97.47,300.96,256.72,0,0.93,0,0,0,0,1.44,0,79.85,27.92,793.02,0,0,0,0
 24-34,1.76,0,0,65.86,109.18,4.43,0,338.24,0.68,0,0,65.58,0,0,31.9,0,1.32,1.61,0.97,7.65,2.18,143.45,4.92,0,131.36,497.25,282.53,0,6.9,0,0.99,0,0,0,0,8.91,10.73,630.52,0,3.84,0,0
 36-46,0,0,0,8.04,31.14,0,0,134.48,12.42,0.68,1.6,25.11,0.66,0,17.72,0,0,0,0.77,2.54,0,321.72,0,7.33,85.34,265.87,361.2,3.74,18.1,0,0,1.16,0,0,2.04,9.48,0.75,281.49,0,0,0,0
 48-58,0,0,0,1.35,26.26,0,0,90.43,1.84,4.25,0,20.3,0,0,12.12,0,0,0,0,0.39,2.02,397.79,0,8.12,38.49,178.07,284.27,0,31.63,0,0.73,3.17,0,0,3.47,27.13,0,118.77,2.11,0.51,0,1
 60-70,0,0,0,0,27.73,0,0,62.99,4.18,0,1.21,35.9,1.04,0,5.1,0,0,0,0.72,1.18,0,569.98,0,10.96,27.09,121.94,198.29,0,41.55,0,1.21,3.02,0,0,14.42,4.03,0,44.96,3.3,0,0,0
 72-82,0,0,0,4.14,23.95,0,0,70.62,6.88,2.98,7.55,81.74,0.65,0,5.53,0,0,0,0.74,1.08,5.13,793.81,0,44.74,23.39,92.87,94.87,0,49.99,0,1.54,0.88,0,0,11.84,2.45,0,18.85,12.65,0,3.2,8.9
 84-94,1.23,0,0,0.72,21.84,0,0,98.19,2.51,7.36,1.18,76.78,0,0,10.36,0,3.66,0,0,1.17,0,686.7,0,29,26.71,62.2,175.75,6.03,63.26,0,3.48,2.52,0,0,6.56,1.26,0,26.11,2.16,1.88,1.44,0
 96-106,0,0,0.9,1.66,29.8,5.12,0.94,94.92,8.77,1.68,8.54,101.94,0.7,0,12.96,0.81,0,0,0.97,6.61,0,634.84,0,13.85,26.04,88.99,105.26,0.57,79.67,0,0,12.74,0,0,22.09,2.12,0,27.64,1.72,0,3.12,0
108-118,0,0,0.71,1.06,21.03,0,0,112.58,3.35,4.22,5.03,96.46,0,0,0.51,0,0.45,0,3.9,5.34,1.72,683.94,0,28.89,26.28,104.08,120.74,0,87.07,0,1.91,0,0,0,10.01,2.63,0,6.24,0,0,1.83,0.91
120,0,0,0,4.41,50.42,0,0,54.39,0,0,10.33,37.58,0,0,2.09,0,0,0,5.24,7.7,0,602.88,0,6.89,42.33,100.45,111.42,2.89,70.03,0,0,0,7.49,0,2.81,2.07,0,4.36,0,0,4.54,0
