stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,0,0,0,0,0,1,0,0,0,0,0,0,0,1.06,0,0,0,0
 24-34,0.82,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,26.86,0,0,0,0,0,13.82,0,0,0,0,3.6,9.97,0,0,0,0,0,0
 36-46,0,8.74,0,0,0,0,0,0.84,0,0.76,0,0,0,0,0,35.33,0,0.82,0,0,0,7.94,1.32,0,0,0,0.66,25.19,0,0,0,0,0,0
 48-58,0,0,0,0,1.4,0,0,0,0,0.62,0,0,0,0,0,36.88,0,0,0,0,0,0.89,0,0,0,0,0,1.75,0,1.33,0,0,0,0
 60-70,0,0,0,0,3.67,0,0,0,0.63,0,0,0,0,0.76,0,100.14,0,8.61,0,0,0,10.03,0,1.58,0,0,0.59,0,0,0,0,0,0,0
 72-82,0,2.33,1.75,0,13.16,0,0,3.57,0,0,2.08,0,0,3.1,0,392.73,0,14.84,0,0,0,60.6,0,0,0,0,1.14,0,0,3.15,0,0,0,0
 84-94,0,0.67,1.42,0.67,9.45,0,0,5.95,1.83,0,0,0.55,0,0,0,1620.27,0,4.59,0,0,0,28.89,0,0,0,0,7.93,0,0,0,0,0,0,0
 96-106,0,7.61,28.33,5.08,47.11,4.92,0,8.24,0,0,0,0.71,4.63,0,0,3094.81,0,36.1,4.41,0,2.43,340.03,0,2.77,3.06,0,34.41,0,0,5.06,2.03,8.1,1.43,6.66
108-118,0,14.27,2.84,8.12,83.84,2.4,2.78,16.45,2.71,0,0,5.69,4.07,0.43,1.62,8823.96,2.65,63.13,10.96,2.38,1.33,343.48,2.2,3.46,3.53,2.8,15.39,5.79,0.85,7.22,0,3.88,2.01,8.04
120,0,20.2,15.57,0,19.63,0,0,36.48,13.59,0,0,6.76,0,0,0,5653.8,0,52.63,16.56,12.66,1.23,446.3,5.94,1.32,0,0,11.3,0,1.32,0,0,27.37,0,0
