stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,taste,vasculature
  3-4,32.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.62,0,0,0,0,0,0,0,44.59,0,0,0,0
 10-12,0,0,0,5.3,0,0,0,0,0,0,0,28.08,0,8.39,0,0
 14-21,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.64,0,0,0,0,3.2,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,13.52,0,0,1.52
 48-58,0,0,0,0,0,0,0.39,0,5.28,0,1.71,1.42,0,0,0,0.59
 60-70,0,0,0,1.52,0.58,0.97,0.8,0,0.8,0,0,0,0,0,0,3.57
 72-82,0,1.3,0,0,0,0,3.82,0,10.44,0,0,8.91,0,0,1.87,2.41
 84-94,0,0,0,1.1,0.91,0,7.56,0,7.48,0,0,2.79,0,0,0,1.64
 96-106,0,0,0,0,0.66,0,15.51,0,5.32,0,0,0,0,0,0,7.36
108-118,0,0.61,0,0,0.53,0,19.85,2.36,13.13,4.01,0,6.47,0,0,0,2.36
120,0,0,0,1.29,0,0,43.09,0,24.89,0,0,0,0,0,0,14.56
