stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,0,0,4.3,10.92,3.39,0,0,0,0
 14-21,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,26.42,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,4.58,0,0,0,98.52,0,0.59,0,0,0
 36-46,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,4.77,0,0,0,186.7,0,0,0,0,4.22
 48-58,0,0,0,2.26,4.29,0,0,0,0,0,2.79,0.76,0,0,2.63,1.66,0,0,152.86,0,1.39,0,0,0
 60-70,0,7.86,0,1.41,7.14,0.85,0,0,0,0,1.74,0.92,3.03,0,2.58,0,0,0,289.09,0,0,0,0,0
 72-82,0,9.33,0,5.82,1.15,0,0,0,0,0,3.47,7.8,2.79,0,6.74,0,1.12,0,214.44,0,3.9,0,0,0
 84-94,0,9.01,0,2.48,3.59,0,1.23,0.64,0,0.65,6.67,0.67,10.41,0,0,3.82,0,0,443.31,0,0,2.01,0,0
 96-106,0,16.74,0,3.76,10.68,0.57,4.36,0,0,0,4.87,2.44,6.71,2.46,25.35,0,0,0,641.95,0,0,0,0,0
108-118,0,22.23,0,0,12.8,0,2.29,0,0,0,7.32,4.3,5.13,0.83,13.77,0.43,0,0,444.32,0,0,0,1.04,7.26
120,0,46.28,1.71,0,13.94,3.86,4.24,0,4.21,1.61,1.61,0,16.53,0,5.87,0,0,0,423.74,0,0,5.43,0,0
