stage,blastomeres,endocrine.pancreas,eye,fin.epithelia,glial,heart,immune,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,33.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,15.81,0,0,7.83,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.8,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0.77,0
 48-58,0,0,0,0,0,0.52,0,0,0,1.08,0,0,0,0,0,0
 60-70,0,0,0,0,0.8,0.92,1.17,0,0,1.08,0.98,0,0,0.62,0,0
 72-82,0,0,1.15,0,0,0,0,0,0,7.85,0,0,0,0,2.44,2.23
 84-94,0,3.73,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0
 96-106,0,0,0,0,0.57,0,0,0,0,0,0,0,0,1.53,1.13,0
108-118,0,0,1.19,0.95,0,0,0,0.69,0,1.19,0,0,0,7.48,0,0
120,0,0,0,0,0,0,0,0,2.66,5.14,0,6.93,0,12.43,0,0
