stage,axial,erythrocytes,eye,fast.muscle,glial,mesenchyme,muscle,neural,notochord,otic,periderm,slow.muscle,somites
  5-6,0,0,0,0,0,0,0,0,0,0,8.13,0,0
  7-9,4.03,0,0,0,0,0,0,20.45,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,27.12,0,0,0,0,0
 14-21,0,3.77,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,160.66,0.65,0,0,0.85,1.85,16.05,0.64,0,1.44,0,2.08
 36-46,0,13.39,0.82,0,0,0,0,0,0,0,0,0,0
 48-58,0,42.69,0,0,0,0,0,1.37,0,0.5,0,0,0
 60-70,0,3.7,0,0.59,1.71,0,0,0,0,0,0,0,0
 72-82,0,2.48,0.69,0,0,0,0,0,0,0,0.53,0,0
 96-106,0,2.28,0,0,0,0,0,0,0,4.7,0,0,0
108-118,0,0,0,0,0.52,0,0,0,0,0,0,0.44,0
