stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.91,0,0,0,0
  5-6,0,24.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0
 10-12,0,0,9,0,0,0,0,0,0,0,0,4.86,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,0,0,0,0,0,0,0,11.9,0,0,0,0,1.01,1.43,2.95,0
 24-34,0,0,0,0,0,0,0,0.63,0,0,0,26.62,0.67,0,0,0,0,1.14,29.41,1.9
 36-46,0,0,0,0.56,0,0,1.73,0,3.09,0,1.12,29.05,0,0,0,0,0,0,44.65,0
 48-58,0,0,0,0,0,0,3.95,0.46,2.13,0.46,0.78,83.24,0,0,0,0,0,0,63.4,0
 60-70,0,0,0,0,0,0,11.8,23.27,1.74,0,0,55.45,0,4.77,1.24,0,0,0,302.12,0
 72-82,0,0,0,0.65,0,0,27.46,4.18,1.03,0,1.88,114.94,0,0,0,0,0,0,194.27,0
 84-94,0,0,0,0.55,0,0,33.42,0.82,0,0,0,61.81,2.17,0,0,0,0,0,114.49,0
 96-106,0,0,0,1.09,1.25,0,35.19,1.21,2.96,0,0,80.73,0,0,0,0,0,0,77.66,0
108-118,0,0,0,1.77,0,0.57,6.21,3.09,1.05,0,0,48.91,1.07,0,0,0,0,0,39.65,0
120,1.19,0,0,0,0,0,23.27,7.67,18.8,0,0,46.96,0,0,0,0,0,0,110.4,0
