stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.18,240.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.02,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.25,168.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.14,0,4.29,0,0,26.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4,0,0,10.14,0,108.06,11.84,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.53,0,0,8.85,0,30.21,4.94,0,0,0,7.71,0,0,0,0,0,0
 14-21,0,0,0,0,3.56,0,1.06,0,0,0,0,0,1.34,0,0,0.82,0,0,0,7.02,0,0,2.44,10.1,0,0,0,0,233.2,0.91,1.06,5.6,0,0,2.88,0,0,0,0,0
 24-34,0,0,0,0.59,2.51,0,5.7,0,0,0,1.62,0,0,0,0,8.34,0,0,0,17.49,4.63,0,0.76,49.77,1.55,0,0,0,462.05,0,0,24.5,0.91,2.27,13.42,0,0,0.73,0,1.55
 36-46,0,0,0,0,0.58,0,4.21,0,6.13,0,3.17,0,0,0,0,4.7,0,0,0,12.91,19.55,0,4.84,48.62,0,0,0,0,695.57,0,0,34.82,0,0,10.7,0,0,3.26,0,0
 48-58,0,0,0,0,0,0,8.07,0,0,0,3.53,1.57,0,0.94,0,1.69,0,0,0,11.09,4.52,0,0,20.11,0.78,0,0,0,226.12,0,0,22.36,0,0,3.17,0,0,0.51,0,15.3
 60-70,0,0,0,0,6.57,0,27.4,1.23,12.89,0.68,8.91,0,1.21,0,0,6.63,1.16,0,0,22.61,5.45,0,0,10.84,2.55,0,0,0,140.02,0.64,0,15.2,0,0,15.05,0,0,4.16,0,8.2
 72-82,0,0,0,0,2.19,0,121.43,0,0.53,0,12.11,1.56,0.5,0.51,0,0.53,0,0,0,59.05,2.53,3.18,1.55,37.1,0,1.77,0,3.01,79.26,0,0,28.99,0,0,1.04,0.5,1.61,2.61,1.55,29.44
 84-94,0,0,0,0,3.83,0.58,134.68,0,2.09,0,1.8,2.47,2.81,0,0,4.44,0.55,0,13.7,26.14,1.96,0,0,21.68,0,0,0,0,193.09,0,0,38.86,0,0,0,4.74,0,0,14.37,14.96
 96-106,0,0,2.46,0,10.4,1.05,114.37,1.42,0.58,1.02,15.6,11.06,0,0.96,0,5.22,0,2.81,0,43.55,7.78,0.8,0,26.6,0,0,0,0,110.67,0,0,28.52,0,0,7.72,0,1.16,0,5.88,23.34
108-118,0,0,0,0,9.29,2.87,106.85,0,1.23,1.05,22.15,8.28,0,0,1.04,1.44,0,0.45,0,36.41,11.82,2.49,0,32.02,0,0,0,0,80.06,0.42,0,30.57,0,0,5.85,0,3.45,1.19,2.5,15.52
120,0,0,0,0,2.92,0,239.4,0,0,0,2.25,9.73,0,0,1.11,8.3,0,0,0,30.82,0,2.18,0,48.86,0,0,0,0,107.43,0,0,16.71,0,0,0,0,0,0,8.56,17.83
