stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,198.49,4729.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.78,0,0,0,0,0,0,0,0,0,0
  5-6,547.05,8522.39,19.57,0,0,0,0,0,0,0,0,0,41.33,0,0,0,0,0,0,0,0,0,0,0,502.53,43.95,0,0,89.14,0,110.85,0,0,0,0,0,0,0,0,0,0
  7-9,161,278.28,258.05,0,0,0,940.06,0,0,0,0,0,280.12,0,0,0,0,0,0,0,0,0,0,0,7181.34,203.43,0,0,3469.81,0,21.2,61.13,0,0,0,0,0,0,0,0,0
 10-12,4.89,166.6,278.19,0,7.8,0,461.11,0,0,0,0,0,32.68,0,0,0,0,0,0,0,0,0,0,3.87,4276.74,18.67,0,0,1702.29,0,12.44,25.66,4.61,117.38,0,0,5.88,0,0,0,0
 14-21,0,0,16.38,220.49,59.11,0,163.98,0,0,0,53.32,10.21,2.04,0,0,13.78,0,0,0,1.87,102.55,0,0,71.19,2170.39,53.03,4.27,16.56,76.6,0,103.78,0.9,169.29,7.44,7.43,108.6,532.46,0,12.32,0,0
 24-34,0,0,3.81,52.97,15.18,0,433.24,0,1.04,0.89,32.82,4.86,0,4.15,0.7,6.23,0,2.81,3.25,0,186.16,0,1.66,53.88,2590.7,35.24,12.12,18.61,0,0.99,86.53,0,0,12.55,0,8.19,462.49,0,36.66,0,8.48
 36-46,0,0,0,19.96,11.69,0,753.16,0,4.24,0,40.71,3.03,0,2.04,5.46,0.62,0.79,2.19,2.45,9.74,144.16,0.65,7.15,27.94,1484.18,3.67,6.25,11.48,0,0,34.57,0,0,5.16,0,0,290.41,0,17.99,0,1.13
 48-58,0,0,0,36.61,0,0,726.21,0,0,2.54,56.11,6.93,0,0,10.54,4.2,0.76,3.2,3.58,2.41,121.89,0.52,4.91,26.93,614.61,8.52,3.2,2.99,0,0,10.72,0,0,0,0,0,79.26,0,16.47,0,11.8
 60-70,0,0,0,31.32,0.74,0,399.62,0,9.55,0.72,50.11,11.83,0,0,2.95,3.07,2.7,5.29,0,0,70.15,1.43,3.69,11.68,324.44,0,1.21,1.82,0,0,11.31,0,0,0.6,0,0,23.41,0,6.05,0,3.58
 72-82,0,0,0,13.58,0.57,0,126.6,0.75,1.74,0.5,43.02,8.41,0,1.1,3.53,3.41,7.42,0,10.29,3.58,77.65,1.09,2.96,19.41,206.76,4.67,0,12.81,0,0.71,14.44,0,0,0,0,0,19.63,0,21.93,0,2.39
 84-94,0,0,0,30.55,3.6,0,121.51,0,0,1.65,32.52,3.85,0,0,7.78,0.56,2.14,0.78,1.62,0,68.61,0.86,7.87,14.88,148.13,6.04,0.8,5.9,0,0,5.25,0,0,2.23,0,0,3.69,3.78,12.07,1.96,0
 96-106,0,0,0,19.01,1.32,3.28,93.96,0,0,0.81,26.73,3.71,0,0.66,2.52,0.73,2.48,0.75,2.05,0,36.65,1.15,3.39,6.95,129.47,0,4.14,0.64,0,0,18.52,0,0,2.83,0,0,0,1.85,10.81,0.72,9.32
108-118,0,0,0.74,13.99,3.55,2.47,93.4,0,0,1.72,33.39,2.47,0,0,8.62,0,4.56,1.38,2.73,2.43,44.26,0.75,1.63,16.33,188.76,1.93,2.83,1.49,0,0,9.18,0,0,0.42,0,0,3.66,2.12,7.87,0.68,0
120,0,0,0,7.39,10.03,0,103.09,0,0,16.89,70.48,3.2,0,0,27.55,0,0,1.84,2.32,0,25.34,0,0,13.48,275.6,0,0,0,0,0,8.15,0,0,0,0,0,0,0,15.12,0,0
