stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,23.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,107.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.21,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,12.97,0,0,10.67,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.47,0,0,0,0,0,0,0,0,3.73,0,0,0,0,11.99,0,0,0,0,6.24,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,83.31,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0
 24-34,0,0,0,0,8.33,0,0,0,0,0,0.73,0,50.43,0,0,0,0,10.92,0,0,0,2.22,0,0.93,0.78,0,0,0,0,0
 36-46,0,0,0,0,8.9,0,2.75,0.62,0,1.5,2.36,0,4,0,8.63,0,0.8,174.92,0,0,0,0,0,0,11.89,0,0,0,0,0
 48-58,0,0,0,0,22.61,0,10.7,0,0,0.91,1.42,0,2.76,0,4.1,0,0.66,100.93,0,0,0,3.95,0,0,12.82,0,0,0,0,0
 60-70,0,0,0,0,14.95,0,24.34,0.68,0,0.82,8.88,0,26.38,0,10.1,1.91,1,41,0,0.95,0,0,0,0,10.87,0,0,0,0,0
 72-82,0,0,0,0,17.53,0,6.15,0,0,0,11.14,0,25.15,0,21.72,0.71,3.41,41.25,0,10.31,0,0.54,0,0,1.34,0,0,0,0.92,4.01
 84-94,0,0,2.52,0,17.25,0,2.5,3.37,2.31,0,18.21,0,40.92,0,11.78,0,2.01,31.89,0,2.18,0,1.68,0,0,0,0.66,0,0,0,0
 96-106,0,0,1.07,0,19.7,0,10.71,0,1.52,0,30.9,0,51.46,0,16.98,0,0,43.31,1.12,7.47,0,2.62,0,0,4.5,0,0,0,0,0
108-118,0,0,0,0,13.28,0,10.81,1.49,0.59,4.94,29.27,0.97,55.51,0.58,24.2,0,0.67,36.65,0,9.83,0,1.52,0,0,3.46,0,0,2.17,0,0
120,2.37,0,1.22,0,20.9,3.8,0,2.33,0,0,41.86,0,30.07,0,16.33,0,0,67.65,0,5.18,0,0,0,0,0,0,3.8,0,0,0
