stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.43,113.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.35,138.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.87,0,0,0,10.78,0,0,6.96,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.65,14.67,0,0,3.58,0,0,0,0,6.52,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,4.67,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69,0,6.83,0,0,1.27,188.57,0,0,0,1.03,0,0,0,3.89,0.85,1.05,32.24,0,0,0,0,0
 24-34,0,0,0,1.64,9.92,0,0,41.14,0,0,0,0,0,0,1.02,0,0,0,1.41,12.25,4.23,8.27,0.93,0,4.38,1632.76,0,11.63,3.05,0,0,0.83,0,0,0,0,202.59,0,0,5.14,0,0
 36-46,0,0,1.72,0,4.6,0,0,36.1,0.67,0,0,4.35,0.72,0,0.75,0.57,0,0.65,0,2.42,0,3.57,0,0,1.51,3382.78,10.66,1.85,7.22,0,0,10.69,0,0,0,0,405.22,0,0,0,0,1.39
 48-58,0,0,0,0,20.19,2.84,0,165.98,0,13.43,0.79,18.9,0.89,0,0,0,0,0,0,2.3,3.21,37.58,0,0,6.92,5825.83,0.44,3.87,3.46,0,0,2.06,0,0,0.52,0,576.76,0,0,9.13,0,18.99
 60-70,0,0,0,0,34.43,1.55,0,375.98,0,8.29,2.12,48.3,0,5.9,0,6.59,0,34.05,0,6.19,0,41.48,0,1.44,1.66,10788.09,2.73,3.14,0,0,0,19.29,0,0,1.75,0.65,951.32,0,4.4,2.32,0.81,17.33
 72-82,0,0,0,0,39.47,19.06,0,929.74,1.07,0.5,14.89,141.26,5.14,0,5.4,11.27,0.63,14.66,0.57,31.06,0,154.26,0,4.96,6.44,10243.4,1.56,9.09,2.57,0,2.19,15.73,0,0,0,0,692.76,2.39,2.38,12.99,0,53.13
 84-94,0,0,0,0,43.1,7.42,0,695.95,0.9,9.37,1.29,117.48,7.79,0,2.45,2.23,0,0.65,0.81,0,4.27,63.64,0.65,1.22,0.96,6169.47,0,2.17,7.06,0,0,20.21,0,0,0.74,0,476.25,5.94,0,3.97,2.25,7.44
 96-106,0,0,0,1.07,39.92,14.18,0.71,677.52,0.77,0.66,4.72,72.45,2.95,0,0,4,2.04,4.13,3.63,8.52,0,135.73,0,5.47,9.27,4199.34,1.27,3.02,5.05,0,0,7.77,0,0,0,0.84,100.08,4.34,1.21,2.5,4.33,1.22
108-118,0,0,0,0,59.95,4.95,0,575.29,0.78,0.92,0,80.43,0.96,0,0,5.88,0.97,0,0,8.83,0,117.38,2.56,0,3.08,6384.84,0.46,11.22,10.34,0,0,12.58,0,0,0,0,105.32,0.68,6.93,1.61,0,0
120,0,0,0,0,48.57,17.23,1.89,594.81,0,0,0,127.75,2.91,0,0,0,0,0,0,0,0,111.3,0,2.35,5.9,6457.39,0,31.78,0,0,3.68,10.45,0,0,9.45,1.22,90.68,2.39,0,0,0,0
