stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,32.31,192.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,93.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,19.45,0,0,0,0,0,0,0,0,0,0,0,0,118.74,0,0,0,21.26,0,4.3,0,0,0,0,0,0
 10-12,0,0,13.23,0,0,33.62,0,0,0,0,0,0,0,0,0,0,0,0,206.84,0,0,0,38.79,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.49,1.06,2.07,0,3.54,0,0,0.81,1.62,0,0,0,4.3,0,4.3,51.86,0.94,0,0,0,0,0.91,15.56,1.33,3.89,15.53,1.76,0
 24-34,0,0,0,0.69,0,3.27,0.79,1.47,0,0,0,0,0,0,0,9.54,0,2.56,15.33,0,0,0,0,1.65,0,0,0.88,0.7,8.77,8.36,1.64
 36-46,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0.8,1.79,0,1.42,4.24,0.61,0,0,0,0,0,0,3.82,0,1.96,0,0
 48-58,0,0,0,0,0,0.85,0.48,0.97,0,1.06,0,0,0,0,13.71,1.29,0,0,1.79,0,0,0,0,0,0,0,1.33,0,0,0,0
 60-70,0,0,0,0,0,3.92,0,3.09,0,0,0,0,0,0,0,0.86,0,0,4.86,0,0,0,0,0,0,0,10.19,0,0,0,0.99
 72-82,0,0,0,0,0,2.77,0.64,2.07,0,0,0,0.66,1.42,0,0,7.51,1.83,0.64,0.56,0,0,0,0,0,0,0,1.93,0,0,0.71,1.38
 84-94,0,0,0,0.77,0.74,3.65,0,2.76,1.25,0,0,0,1.25,0,0.59,2.64,1.52,0,1.01,0,2.19,1.95,0,3.35,0,0,3.55,0,0,0,0
 96-106,0,0,0,1.45,0,6.18,0,1.14,0,0,0,0,0,0,1.15,6.54,0,0,0,0,0,0,0,5.04,0,0,1.94,0,0,0,0
108-118,0,0,0,0,1.33,11.37,0,1.08,0.47,0,0,0,4.51,0,0,4.21,0,0,3.43,0,0,0.44,0,0,0,0,1.54,0,0,0,0.51
120,0,0,0,0,0,22.22,0,0,0,0,0,0,0,4.16,0,6.28,0,0,0,0,0,0,0,0,0,0,1.56,0,0,1.26,0
