stage,axial,blastomeres,eye,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord
  3-4,12.81,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.47,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.2,6.62,0,0,0,0,0,89.91,0,4.35,0,0
 10-12,0,7.9,4.79,0,0,0,0,0,85.47,0,0,0,0
 14-21,0,0,1.25,0,0,0,0,0.87,12.4,0,0,0,5.69
 24-34,0,0,4.1,0,0,0,0,0,43.18,0,0,0,6.31
 36-46,0,0,5.21,0,0,1.2,0,0,78.48,0.64,0,0,7.36
 48-58,0,0,9.07,0,1.54,1.24,0,0,95.4,0,0,2.23,12.39
 60-70,0,0,24.8,1.48,3.74,0,0,0,123.4,0,0,0,6.59
 72-82,0,0,9.28,1.15,1.45,0.58,0,0,122.28,3.18,0,0,11.95
 84-94,0,0,5.74,0,0,1.12,0,0,65.52,0,0,0,3.37
 96-106,0,0,2.82,0,2.6,0,0,0,70.76,0,0,0,0
108-118,0,0,13.56,0.43,0.86,0.63,0,0,55.72,0,0,0,1.46
120,0,0,6.5,0,0,0,15.02,0,34.02,3.09,0,0,1.19
