stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.21,0,0,0,12.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.12,0,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.35,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,4.22,27.51,0,0,0,0,0,0,0.84,0,42.14,20.25,11.2,0,0,0,0,0
 24-34,0,0,0,31.4,0,0,6.97,7.62,1.64,0.68,20.4,0,0,5.07,0.65,0,0,1.6,0,0,24.97,0,0,49.87,207.54,2,0.62,2.54,0,0.99,2.47,0,4.23,30.74,36.54,22.57,0,0,21.41,0,0
 36-46,0,0,1.67,31.05,0,0,27.71,16.96,0.89,0.61,84.55,0,0,7.36,0.89,0.58,0.59,3.23,0,8.29,81.26,1.66,1.49,21.8,458.97,0.69,0.63,3.59,0,0,8.13,1.63,4.83,20.53,3.3,101.67,0,0,30.34,0,7.83
 48-58,0,0,0,17.62,0,0,88.3,14.32,1.07,4.19,219.68,0,3.26,4.64,0,7.05,1.17,2.14,0.39,7.08,268.39,3.91,3.69,29.01,801.48,18.78,0.44,6.62,0,0.39,25.88,0,7.18,22.43,0,143.03,0,0.95,44.9,0,1.32
 60-70,0,0,0,44.25,0,0,144.44,13.63,3.9,3.43,300.63,1.52,0,12.84,2.27,0.58,10.47,3.09,4.62,0.73,564.18,2.66,26.84,17.91,799.88,5.72,0,3.7,0,7.62,43.84,0,10.11,2.24,0,159.74,0.61,19.74,40.62,3.82,23.04
 72-82,0,2.44,0,37.34,19.66,0,240.97,8.92,3.38,24.9,307.12,7.22,0,14.88,0.54,2.48,4.36,5.36,0,0.64,960.81,6.99,46.63,25.04,646.31,5.21,4.05,21.93,0,8.62,21.67,0,10.64,0.49,0,125.32,0,19.49,111.25,24.36,17.09
 84-94,0,0,0,59.4,13.71,0,257.37,4.16,2.38,11.59,196.92,15.15,3.83,23.69,2.69,8.89,6.2,1.91,5.27,3.49,888.16,25.88,21.4,45.36,353.86,2.71,4.86,18.23,0,10.83,80.16,0,17.91,3.89,0,78.94,0.72,20.64,78.33,24.21,14.69
 96-106,0,6.26,0,55.08,42.54,1.19,346.56,6.25,2.92,7.2,190.18,16.45,0,17.38,13.54,9.63,21.93,4.23,18.36,7.1,709.6,19.46,18.63,20.2,572.92,7.55,9.26,19.07,10.66,22.37,65.5,0,7.71,1.76,0,58.92,0.61,28.57,125.68,27.68,2.5
108-118,0,1.25,0,71.07,24.26,9.51,296.97,16.39,3.47,8.66,214.51,21.47,0,12.82,5.8,18.41,45.64,6.17,3.31,1.05,842.65,37.59,21.04,27.07,592.02,7.25,5.97,25.23,8.11,12.97,51.13,0,10.35,3.48,0,31.25,5.11,26.76,86.33,26.22,19.32
120,0,0,0,99.28,35.91,1.14,368.5,13.26,15.8,37.83,430.29,8.71,0,31.5,13.84,23.29,17.59,9.82,1.89,1.61,969.96,2.63,57.06,23.77,640.55,13,17.09,36.76,0,19.49,55.11,0,10.67,1.21,0,62.94,2.31,22.29,172.2,43.12,3.58
