stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,23.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
 14-21,0,4.72,0,0,0.89,0,0,2.55,1.96,29.99,0.94,0,1.95,0.85,0,0.85,2.05,2.68,0
 24-34,0,0,0,0,2.43,0,0,2.88,0.76,24.19,0,0.66,0,0,0,0,0,1.68,0
 36-46,0,0,4.91,0,1.09,0,0,0,0,26.48,0,0,0,0,0,0,0,9.71,0
 48-58,0,0,14.83,0,0,0,0.45,4.03,1.05,22.25,0,0,0,0,0,0,0,2.2,0
 60-70,0,0,17.11,0,0,0,0,7.95,0,43.44,0,0,0,0,0,0,0,6.89,0
 72-82,0,0.63,15.77,0,0.72,0,0,4.39,0,13.72,0,0,0,0,0,0,0,0,3.32
 84-94,0,0,8.54,0.58,0.8,0.62,0,3.69,1.05,6.81,0,0,0,0,0,0,0,0,0.64
 96-106,0,0,1.62,0,0,0,0,1.79,0,11.68,0,0,0,0,0,0,0,2.95,0
108-118,0,0,7.77,0,0,0,0,7.78,0,11.88,0,0,0,0,0,0,0,0,0
120,0,0,5.17,0,3.94,0,0,2.45,0,26.58,0,0,0,0,1.68,0,0,0,0
