stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,7.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.17,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.54,0,0,0,0,0,0,6.26,13.36,0,0,0,0
 24-34,0,1.54,0,0,0,0,0,0.88,0,9.24,0,0,0,0,0,0.6,0,0,3.95,52.88,0,0,0.82,0,1.03,0,15.33,45.99,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,1.01,36.24,0,0,0,0,0.71,0,69.87,25.37,0,0.75,0,0
 48-58,0,0,0.7,0,5.03,40.38,0,7.73,0,0,0,0,0,0,0,1.63,0,0,22.64,27.25,0,0,0,0,0,0,26.5,3.37,0,0.98,0,0
 60-70,0,3.28,0,0,17.78,169.88,0,0,4.11,0,0,0,0,1.83,0,9.81,2.4,1.28,25.32,64.45,8.26,0,0,18.64,0.81,0,34.83,0,0,0,0,0
 72-82,0,0.61,12.42,0,27.96,323.37,0,6.86,0,0,4.17,0,0,0,0,22.07,0,0,12.42,48.15,0,0,0,0,2.55,0,52,1.82,0,1.52,0,0
 84-94,0,0,7.32,0,42.56,726.51,0,25.88,0.71,0,0,0,0,3.68,0,23.23,0,0,28.42,32.67,0,0,0,0,5.28,0,42.35,7.12,2.89,0,2.93,9.81
 96-106,0,4.25,3.57,0.94,32.72,840.42,1.49,18.54,0,0,1.57,0.73,2.59,3.96,0,36.15,0,0,20.81,61.54,0,3.21,0,0,15.39,0,52.33,0,0,0.84,1.28,10.47
108-118,0,3.82,2.06,0.43,13.83,1148.23,0,0,1.45,0,0,0,0,0.87,1.19,22.29,0,0,6.92,36.41,0,0,0,0,6.98,0.51,52.69,1.46,0,1.1,0,7.71
120,4.41,0,0,0,27.1,653.29,1.22,5.5,1.12,0,1.33,0,0,0,0,60.87,0,0,1.64,27.68,0,4.64,0,0,0,0,70.13,0,0,1.61,0,0
