stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,27.19,363.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.14,138.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0
  7-9,17.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.55,0,0,0,39.21,0,0,0,0,0,0,0
 10-12,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,31.51,0,0,0,26.53,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.19,0,0,0,0,0,0,0,0.89,0,0,2.32,0.84,0.83,0,0,0,0,0.92,0,1.04,0,0,0
 24-34,0,0,0,0,0,0,1.49,0,1.24,0,0,1.03,1.14,0,0,0,1.8,0,0,0,0,0.82,0,0.84,0,0,0,0
 36-46,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0.55,2.27,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.7,0,0.8,0,0,0,0,0,0,0,0,0,1.91,0,0.91,0,0,0,0,1.48,0,0,0,0
 60-70,0,0,0,0,4.33,0,1.52,0,0.96,0,3.06,0,0.89,0,0,0,5.05,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.49,0,0,0.65,0,0.61,0,0,0.95,0.73,0,1.07,0,0,0,0.52,0,0,0,0,0,1.87,2.43,0
 84-94,0,0,0.56,0,0.66,0,1.59,0,2.84,0,1.92,0,0,0,0.65,0,2.25,0,0,0,0,0,0,0.68,0,0,0.55,0
 96-106,0,0,1.11,0,0.58,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,1.04,0
108-118,0,0,0,0,6.49,0.53,0.51,0.61,0,3.66,11.94,2.91,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0.54,0
120,0,0,0,0,5.43,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,2.98,0,1.21,0,0,0,1.8
