stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,liver,mesenchyme,muscle,neural,paraxial.mesoderm,pericytes,periderm,spinal.cord,xanthophores
  3-4,12.8,32.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,25.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.89,0,0,0,0,0,8.12,5.16,0,0,0,0
 14-21,0,0,0,0,0.83,0,0,0,0,0,1.05,0,0,0,0,0
 24-34,0,0,0.65,0,1.19,0,0,0,0,0,6.95,0,0,0,5.12,0
 36-46,0,0,0,0,0.98,0,0,0,0.66,0,16.45,0,0,0,1.15,0
 48-58,0,0,0,0,0.79,0.66,0,0,0.39,0.98,6.7,0,0.56,0,4.88,0
 60-70,0,0,0,0,5.97,0,0,0,0,0,1.84,0,0,0,1.36,0.77
 72-82,0,0,0,0,2.62,0,0,0,2.63,0,4.34,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
 96-106,0,0,0,5.11,2.52,0,0,0,1.5,3.02,0,0,1.77,0.59,0,0
108-118,0,0,0,0,1.03,0,4.04,0,0,0,3.17,0,0,0,3.19,0
120,0,0,0,0,0,0,5.14,5.74,0,0,5.03,0,0,0,0,0
