stage,blastomeres,eye,fast.muscle,fin.epithelia,glial,gut,liver,mesenchyme,neural,olfactory,periderm,presomitic.mesoderm,spinal.cord,vasculature
  5-6,23.25,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.18,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.25,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0
 36-46,0,1.32,4.05,0,0,0,0,0,2.75,0,1.41,0,0,0
 48-58,0,0,1.32,0,0,0,0,0,0.79,0,0,0,0.69,0
 60-70,0,0,0,0,0.86,0,0,0.64,2.31,0,0,0,1.93,0
 72-82,0,2.81,0,0,0,0,0,1.68,1.02,1.33,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.98,0,1.3,0,0,0
 96-106,0,0,0,0,0,0,0,2.56,1.78,0,1.13,0,0,0.74
108-118,0,0,0,0,0,0,0,0,1.41,0,0.98,0,0,0
120,0,0,0,2.16,0,1.77,1.1,0,0,0,0,0,0,0
