stage,eye,mesenchyme,neural,spinal.cord
 14-21,0,0,1,0
 24-34,0,0,0,5.59
 60-70,0,0.73,0,0
 84-94,0,9.73,2.57,0
 96-106,0,3.01,3.05,0
108-118,1.3,0,0,0
