stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0
  7-9,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.77,0,0,0,19.46,0,0,6.08,0,0,0,0,0,0,0,0
 14-21,0,1.11,1.6,0.91,0,14.42,0,0,0,0,0,3.99,0,5.47,1.71,0,0,0,27.78,0,0,0,0,106.83,0,1.44,0,0,0,0,0,1.62,0.82,57.95,0,0,0,0,7.9
 24-34,0,1.05,7.73,0,0,71.18,0,0,0,5.67,0,0,0.98,16.61,6.9,1.17,0,0,120.04,10.75,0,0,4.3,843.82,0,20.41,1.45,0,0,0.95,2.11,0,0,227.33,0,0,0.6,0,36.27
 36-46,0,1.8,4.25,17.02,0,134.59,0,0,0,41.14,0,0,0,23.79,3.08,12.45,0.61,0,167.07,34.06,0.95,0.8,2.53,2418.22,0,40.11,2.88,0,0,9.91,2.21,0,0,488.51,0,0,4.21,0,96.82
 48-58,0.39,0.46,3.6,0.45,0,312.26,4.66,7.42,0,90.62,0,0,0,9.65,13.93,39.86,2.12,0.48,127.2,119.96,3.21,1.17,5.17,2562.63,0,9.29,0.96,0,0,6.41,1.62,0,0,491.56,0,0.61,1.5,0,40.67
 60-70,0,1.43,7.71,0.67,0,1388.76,1.4,2.74,1.38,144.16,0.63,0,3.54,33.16,0,36.26,0,2.11,96.99,280.43,4.23,15.83,5.11,3943.46,1.73,12.47,15.18,0,5.65,2.17,0,0,0,607.99,0,4.12,3.63,1.63,82.7
 72-82,0,3.35,18.86,17.13,0,1487.03,2.53,0,7.05,316.77,8.9,0,1.02,24.64,0.56,43.62,1.37,4.72,98.39,313.19,0,11.41,2.82,3060.89,0,30.31,6.76,0,3.86,8.72,0.49,0,0,414.37,0,6.16,5.75,4.5,47.96
 84-94,0,7.34,25.44,32.1,0,1321.41,0,0,7.7,310.27,10.57,0,3.76,29.88,2.35,67.23,9.03,1.81,118.6,370.93,0,19.01,1,2077.64,0,13.41,16.42,0,0,9.05,0,0,0,282.21,0,6.31,3.11,5.13,53.15
 96-106,0,3.1,16.24,16.83,0,1132.16,0.71,0.57,4.16,473.27,13.86,0,0.99,42.76,2.22,43.67,3.47,9.78,42.91,230.42,0,19.28,2.59,1842.66,0.62,17.94,23.38,0,9.76,11.82,0,0,0,117.14,0,5.64,12.65,2.34,53.49
108-118,0,2.2,26.18,13.87,10.99,1210.02,5.24,0.43,9.54,459.94,5.6,0,5.31,43.19,1.31,105.25,3.83,7.22,138.39,267.79,1.41,6.64,5.02,2412.52,0.46,23.89,27.22,0,2.23,1.68,0.41,0,0,129.22,3.6,7.22,4.18,6.95,86.02
120,0,0,34.67,11.85,0,826.12,0,6.52,8.22,405.39,31.82,0,0,35.43,0,75.98,15.4,5.65,39.45,301.19,0,13.08,6.85,3180.71,7.63,19.1,4.86,0,3.68,5.7,3.15,0,0,45.45,0,10.67,4.4,7.69,86.56
