stage,endoderm,epidermis,eye,glial,heart,lateral.line,mesenchyme,neural,paraxial.mesoderm,spinal.cord,visceral.smooth.muscle
  7-9,4.95,0,0,0,0,0,0,0,3.34,0,0
 10-12,0,0,0,0,0,0,0,4.07,0,0,0
 24-34,0,0,0,1.11,0,0,0,4.19,0,0,0
 36-46,0,0,0,3.72,0,0,0.57,20.77,0,11.51,0
 48-58,0,0,4.2,8.42,0,0,1.83,31.57,0,9.02,0
 60-70,0,0,0,1.14,0,0,0,32.61,0,7.52,0
 72-82,0,0.77,0,2.31,0,0,0.67,16.27,0,1.79,0
 84-94,0,0,0,0,0,0.81,0,22.06,0,1.14,0.61
 96-106,0,0,0,3.82,1.6,0,0,16.18,0,0,0
108-118,0,0,0,1.86,0,0,2.85,6.14,0,0,0
120,0,0,2.62,3.97,0,0,1.05,10.96,0,0,0
