stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,876.74,21033.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423.41,0,0,0,0,0,0,0,0,0,0,0
  5-6,948.94,12558.18,19.34,0,0,0,0,0,0,0,0,0,43.77,0,0,0,0,0,0,0,0,0,0,0,437.02,71.51,0,0,74.12,0,1332.53,0,0,0,0,0,0,0,0,0,0,0
  7-9,272.77,283.78,545.95,0,0,0,715.38,0,0,0,0,0,359.19,0,0,0,0,0,0,0,0,0,0,0,7100.07,242.92,0,0,2900.75,0,223.82,114.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,303.08,354.91,0,67.92,0,620.17,0,0,0,0,0,193.58,0,0,0,0,0,0,0,0,0,0,0,6870.07,128.01,0,0,2557.81,0,54.47,51.45,12.62,310.49,0,5.74,7.62,0,0,0,0,0
 14-21,0,0,17.25,176.85,39.43,0,71.33,0,0,0,12.06,7.74,0,2.02,0,3.23,0,0,1.15,0,88.84,0,0,103.91,1002.55,32.97,4.91,9.89,31.55,0,132.51,1.23,176.63,6.65,1.23,149.72,329.11,0,0,6.29,0,0
 24-34,0,0,8.43,50.8,14.05,0,211.08,0,0,0.72,32.43,1,0,1.85,18.7,0.62,4.37,1.42,5.02,2.06,187.65,0,2.35,71.87,2023.31,25.61,14.75,21.28,0,0,212.46,0,2.33,2.38,0,7.52,529.91,0,0,63.85,0,5.53
 36-46,0,0,0,46.3,7.09,0,392.39,0,0.66,0.65,19.27,1.32,0,2.38,3.27,12.7,2.61,0.95,0,1.38,188.29,0,4.66,54.3,1455.99,14.42,9.12,6.77,0,0,93.04,0.78,0,2.88,0,0,330.51,0,0,10.79,0,4.66
 48-58,0,0,0,37.15,4.35,0,590.43,0,0,1.37,46.86,4.94,0,4.13,7.93,6.28,1.8,0,3.69,1.56,209.11,0.77,10.76,43.64,823.04,8.24,7.23,2.57,0,0.87,34.55,0,0,1.07,0.46,0,130.02,0,0,16.93,0,13.75
 60-70,0,0,0,37.27,10.38,0,407.84,1.28,2.36,2.61,44.33,10.07,0,0,1.22,1.08,5.26,3.21,1.96,0,196.76,0,27.79,21.54,405.23,9.87,2.92,1.57,0,0,21.1,0,0,0.69,0,0,22.87,0,0,11.73,0,15.23
 72-82,0,0,0,32.25,5.35,0,166.07,1.84,4.04,0,36.22,8.9,0,1.02,1.78,0,3.47,0.69,6,0,124.95,1.07,10.93,15.61,235.31,1.67,2.51,0,0,1.05,7.07,0,0,2,0,0,21.36,4.82,1.02,17.18,0,3.55
 84-94,0,0,0,28.64,5.05,3.42,107,0,0,0,39.85,14.67,0,0.8,3.88,2.8,9.18,0.63,3.4,3.66,116.21,0,13.74,15.91,156.66,7.4,2.01,7.37,0,8.73,25.29,0,0,3.7,0,0,1.05,1.42,0,17.46,0,0
 96-106,0,0,0,14.67,19.73,2.78,78.4,0,0.89,0,23.38,7.9,0,4.08,5.13,0.91,1.48,2.9,1.19,0,57.65,0,4.05,7.46,127.54,0.77,4.8,4.5,0,0,21.26,0,0,0,0,0,6.32,0,0,14.1,1.43,0
108-118,0,0,0,14.6,9.92,0.47,104.02,0,0.42,1.14,34.96,8.02,0,0,13.17,2.13,4.08,0.66,6.56,1.97,56.55,3.56,5.54,8.65,171.74,5.02,0.77,3.27,0,0,6.71,0,0,3.73,0,0,4.15,0.54,0.41,13.11,0,0.94
120,0,0,0,6.03,12.7,0,83.59,0,0,0,51.97,6.27,0,0,16.48,0,1.74,0,9.32,0,41.71,0,2.08,5.64,260.29,0,13.79,5.28,0,0,12.02,1.53,0,0,0,0,12.38,1.1,0,14.86,0,0
