stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,neural,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,11.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56,0,0,0,0,0,0,0,0
 14-21,0,0,4.18,0,0,0,0,0,0,0,0,10.69,0,0,0,0,0,0,68.55,0,0,0,10.44,0,0,1.26,0
 24-34,0,0,0,0,0,0.67,0,0,1.24,0,0.79,14.84,0,0,0.71,0,2.82,0,183.72,0,2.77,0,25.94,0,0,46.27,0
 36-46,0,0,0,0,0,0.61,0,0,0,0,0,29.56,0,0,0,1.27,0,0,187.98,0,0.79,0,19.51,0,0,86.79,0
 48-58,0,0,0,0,0,4.12,0,0.97,0,0,7.01,31.52,0,0,0,0,0,0,130.42,0.82,6.33,0,22.01,0,0,84.53,0
 60-70,0,0,0,0,0,4.26,0,0,0,0,0,39.09,0,0,0,2.81,0,0,107.45,0,0,0,20.12,0,0,43.97,0
 72-82,0,1.52,0,0.57,0,2.64,0,0,0,1.79,0,73.65,0,5.83,0,4.57,2.44,0.74,95.86,0,0,0,3.61,1.58,0.83,54.59,0
 84-94,0,0,0.83,0,0,8.99,0,0,4.11,0.87,0,77.12,0,0.74,0,3.35,0,0.89,72.79,0,0,0,2.88,0,0,36.67,0
 96-106,0,0,0.86,0,0,1.91,2.85,0,1.06,0,0,135.67,0.81,0,0,5.2,0,0.58,98.29,1.34,1.05,0.6,0,0,0,26.58,0.89
108-118,0,1.21,1.16,1.43,1.62,4.83,0,0,8.37,0.64,0,82.84,0,0,0,13,0,5.77,117.01,0,0,0,0,0.68,0,22.85,0
120,0,0,0,12.9,0,0,0,0,8.59,0,0,137,0,0,0,6.76,0,0,54.78,0,0,0,1.53,0,0,77.11,0
