stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75,0,0,0,0,0,8.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83,0,0,0,13.22,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,42.34,113.18,0,0.86,0,0,0,0,0,0,20.77,0,0,0,0,176.19,0,0,117.83,50.01,1.69,0,0,0,0,0,1.64,0,5.89,6.44,8.44,0,0,51.27,0,0
 24-34,0,2.01,13.87,15.82,0,5.1,1.41,0,7.37,1.11,0,0,24.16,0,11.41,0,0,313.13,0,0,148.64,138.9,0,0,0,0,0,0,0,1.23,7.18,11.69,12.81,0,0,258.89,0,0
 36-46,0,0,8.96,0,0,1.52,0,2.12,15.15,3.31,0,0,10.15,0,0,0,0,529.77,0,21.74,110.62,157.69,0.63,0,0,0,2.1,0,0,0.67,8.31,0.91,8.14,0,8.3,139.2,0,0
 48-58,0.77,0,4.13,2.22,0,56.73,4.12,2.55,26.35,10.73,0.38,0,10.45,0,0,0,0.48,717.77,0,29.33,81.49,184.34,0,12.62,1.38,0,1.46,1.41,0,0,8.59,0,3.92,0,3,145.95,0.78,4.04
 60-70,0,0,7.43,0,0,47.77,2.49,6.47,29.6,26.65,0,0,11.82,4.72,0,0.61,0,1034.07,0,65.47,40.49,133.55,0,0,0,0,16.06,0,0,7.63,7.85,0,1.74,0,23.15,145.82,2.66,13.49
 72-82,0,0,5.39,2.12,0,79.38,4.82,3.46,45.35,71.99,1.1,0,8.05,1.06,0,0,0,1423.9,0,46.15,53.08,155.32,0,0.53,0.98,0,12.51,1.65,0,0,1.12,0,5.8,1.36,36.31,222.36,42.68,0
 84-94,0,0,2.43,0,0,60.14,6.16,0.56,33.95,45.74,0,0,7.43,3.56,1.56,0.96,0,1257.15,0,41.49,35.18,102.85,0,0,0.88,0,13.07,2.65,0,1.98,5.72,0,4.62,0,24.3,152.73,50.25,0
 96-106,0,0,5.38,18.38,0,56.3,3.67,1.87,44.37,122.79,0,0,13.85,0.65,0,5.85,14.86,1114.55,1.42,67.67,52.38,127.82,0.73,0.89,0.73,0,32.27,3.22,0,5.08,2.65,0,2.53,0.81,26.42,225.91,47.79,0
108-118,0,0,6.52,0.64,0.45,27.75,3.93,5.15,34.64,82.99,0,0,4.38,1.31,3.04,2.2,0,1250.28,1.15,46.37,52.26,150.23,0.44,0,1.31,0,38.93,0.6,0,0.44,8.12,0,0,0,11.22,192.34,60.47,7.22
120,0,0,3.34,4.47,3.41,39.15,31.71,2.37,78.55,112.03,0,5.2,7.11,3.24,0,0,19.31,1088.13,3.12,86.46,45.33,95.97,0,0,3.12,0,70.32,2.81,0,0,4.59,0,0,0,11.28,175.11,98.78,8.45
