stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,78.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,255.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.02,39.53,0,16.77,0,0,18.75,0,0,0,0,21.17,0,0,0,0,0,0,0,0,0,0,395.38,0,0,0,200.03,0,0,0,0,0,0,0,0,0,0
 10-12,7.59,0,0,27.92,0,11.05,42.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587.84,17.89,0,0,145,0,0,13.81,0,0,0,0,0,0,0
 14-21,0,0,0,0,58.95,3.64,6.39,1.44,0,0,0,0,0,0,0,0,0,0,0.94,11.83,0,2.79,77.82,0,0,1.82,0,0,1.68,0,3.03,34.15,0,0,0,0,0
 24-34,0,0,0,0,4.74,0,6.99,0,0,0.76,0,0,0.86,0,0,0,0,0,0,21.57,0,7.63,270.97,0,3.09,1.88,0,0,0,0,0,47.47,0,0,0,0,0
 36-46,0,0,0,0,8.28,0,49.68,0,0,5.7,0,0,1.71,0,0,0,0,0.59,0.61,41.65,0.67,5.58,1176.97,0,4.79,0,0,1.61,0,0,0,148.17,0,0,5.46,0,0
 48-58,0,0,0,0,0.4,0,236.94,0.5,3.1,30.12,0,0,0,0,0,2.2,0.51,0,0.83,25.7,2.18,4.12,1544.9,0,1.75,0,0,1.02,0,0,0,274.05,0,0.84,2.63,0,2.05
 60-70,0,0,0.89,0,10.18,3.19,506.71,0.59,9.18,23.12,0.65,0,0,0.81,0,0,0.69,0,2.79,33.84,1.27,1.35,2357.81,0,0,0,0,1.18,0,0,0,598.17,0,0,1.47,0,1.96
 72-82,0,0,0,0,2.83,11.86,201.48,0,2.73,22.56,0,0,0.58,0,0,0,0,0,0,24.62,1.04,0,1046.25,0,0,0,0,5.51,0,0.64,0,212.06,0,0,0,0,0
 84-94,0,0,0,0,4.47,0,157.24,0,1.59,9.5,0,0,0,2.43,0,0,0,0,0,13.78,2.46,2.16,517.05,0,0,0,0,0.97,0,0,0,119.01,0.9,0,0,0,0
 96-106,0,0,0,0,5.36,3.68,75.28,0,2.21,9.93,0,0,0,0.66,0,0,0.86,0,0,20.91,0,0,389.21,0.62,0,0,0,3.09,0,0,0,99.96,0,0,0,0,4.01
108-118,0,0,0,0,4.19,0,92.19,0.63,0.56,6.03,0,0,0,0,1.01,0,0.63,0.51,0,23.99,0,1.38,509,0,0,1.11,0,0,0,0,0,53.61,0,0,0.62,0.48,2.39
120,0,0,0,0,0,0,90.63,0,1.82,0,2.11,0,0,0,0,0,0,0,0,47.89,0,0,877.87,0,0,0,0,0,0,0,0,69.58,0,0,1.65,8.03,0
