stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,spinal.cord,taste,vasculature
 14-21,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0
 24-34,0,0.81,0,0,0,0,56.66,0.6,0,0,0,0,0,0,0.84,0,3.36,0,0,0,0,0
 36-46,0,0,0,2.29,0,0,173.53,0,0,0,0,0,0,0,0.58,0.87,0,0,0,1.83,0,1.62
 48-58,0,0,0,4.53,0.41,0,288.95,0,0,0,1.61,0,0.38,0.61,0.55,14.38,0,0,0,1.05,0,0
 60-70,0,0,0,0,2.93,0,270.24,0,0,0,0,0,2.17,0,0,4.97,0,0,0,0,0,2.16
 72-82,0,0,0,2.29,3.56,0,444.07,1.32,0,0,0,0,2.44,0,0,2.91,0,0,0,0,0,0
 84-94,0,0,0,1.52,0,1.9,616.29,4.7,0,0,3.35,0,0,0,0,6.51,0,2.99,0,0,0.84,0
 96-106,0.61,1.76,0,9.49,0,2.33,675.55,6.61,0,1.67,0,0,0,0,2.16,3.85,0,0,0,0,0.62,0
108-118,0,1.1,2.16,0,1.66,1.59,673.64,6.91,0.44,0,0.58,2.47,1.28,0,0.66,13.62,0,0,2.28,0,0,0
120,0,8.71,0,0,0,4.78,550.9,9.67,0,0,2.35,0,0,0,0,27.74,0,0,0,0,0,45.24
