stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,0,0,0.85,0,0,0,0,11,0,0,0,104.96,0,0,0,0,0,23.23,0,0,2.08,0,0,0,0,2.41,0,0,0,0,0,0,0,0
 24-34,0.96,0,20.64,0,0,2.27,0,0,0,1.13,102.79,91.68,0,0,1826.25,0,0,0,0,4.2,388.73,0,0.78,86.37,0,7.24,0,0,4.5,0,10.41,7.82,0,0,4.91,0,0
 36-46,0,0,66.79,0,0,9.74,0,5.86,0,0,102.81,686.91,0,0,1983.31,0,1.72,0,0,6.66,752.39,0.55,1.52,63.22,0,16.4,0.69,0,10.08,5.79,0,5.72,0,0,0,0,0
 48-58,0,0,59.33,0,0,24.37,0,9.37,0.47,8.61,63.7,3391.7,0,0,727.69,0,0,0,0,16.09,779.45,0.37,5.24,109.3,0,0.42,0,0,16.58,2.28,0,19.65,0,0,0.41,0,23.93
 60-70,0,0,75.8,0,0,49.11,0,7.98,0.62,2.84,10.78,2284.04,0,0,914.52,4.06,0,0,0.72,7.59,900,0,0,50.58,0,1.82,0,0,37.21,10.46,0,7.36,0,0,0,0,0
 72-82,0,0,91.58,0,0,19.16,0,35.97,0.55,4.17,230.09,1626.58,0,0.51,1433.29,0.73,1.05,0,0,22.46,1630.06,0.55,0,84.63,38.72,0.93,0,0,14.09,2.65,0,2.52,0,0,1.72,0,3.78
 84-94,0,0,232.15,0.85,0,9.15,0,23.19,5.59,13.18,586.2,1974.03,0,4.87,2163.01,0,2.35,0,0,9.39,1702.59,0,0.71,43.96,0,0.69,0,0,30.67,16.44,0,0,11.52,0,0.63,0,0.7
 96-106,0,0,589,25.51,1.07,142.3,0,81.42,0,14.45,2468.12,129.67,0,0.86,3501.87,0.67,5.24,17.74,3.61,41.87,2821.87,7.28,6.67,225.64,2.63,10.52,8.66,6.04,70.05,3.56,0,0,40.09,1.93,3.82,3.52,3.49
108-118,0,1.58,484.2,13.65,0.92,81.22,0.76,72.9,0.6,18.88,3060.49,2.74,1.81,26.12,3548.99,0.43,21,2.44,0,52,1803.44,2.38,1.04,164.63,0,6.89,5,2.37,28.02,21.29,0,13.66,100.79,2.44,0.89,1.3,4.67
120,0,0,418.15,5.58,0,69.57,0,43.08,0,27.47,1894.07,0,0,7.29,2080.97,19.27,6.53,2.57,0,30.79,1217.38,0,0,145.22,0,1.45,0,4.22,16.59,13.9,0,8.48,36.58,0,3.29,8.01,0
