stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0,7.37,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,7.64,1.84,3.75,0,0,2.19,0.98,0,0,0,7.19,0,0,1.02,54.64,0.88,0,2.52,2.14,3.29,12.61,2.27,23.55,26.32,0,0,0,0
 24-34,0,0,0,0,5.86,0,0,1.35,0,0,0,1.2,9.5,0,0,6.26,85.27,0,0,0,0,0,0,1.55,3.97,10.27,0,1.54,0,0
 36-46,0,0.56,0,4.4,7.12,0,0,4.21,0,0,0,0,3.82,0,0,7.6,46.62,0,1.29,0,0,3.74,0,0.7,0,6.89,0,0,0,0
 48-58,0,0,0,0,3.33,0.67,0,3.05,0,0,0,0,8.05,0,0.7,4.25,48.17,0,0,0,0,3.68,0,2.68,0,7.21,0,2.28,0,0.51
 60-70,0,0,0,0,15.61,0,1.6,0.74,0,0,0,0,1.87,0,0.62,0,31.6,0,0,0,0,0,0,1.33,0,6.06,0,0,0,0
 72-82,0,0,0.67,0,13,0,0.54,4.09,0,0.59,0,0,12.44,0,6.92,14.35,61.13,0,0,0,0,0,0,3.31,0,7.13,3.91,1.27,3.21,0
 84-94,0,0,1.02,0,0,0,0,2.57,1.04,0,0,0,9.1,0,0.95,4.02,22.64,0,0,0,0,0,0,0,0,1.64,2.16,0,0,0
 96-106,0,0,0,0.68,3.88,1.95,0,1.59,1.71,0,0.76,0,17.28,7.39,0,8.3,25.78,0,0,0,0,1.26,0,0,0,0,0,1.56,0,0
108-118,0,0,1.06,0,3.74,0,0,4.7,6.68,0,1.57,0,11.15,0,1.48,1.64,21,0,0,0,0,0.93,0,0,0,0,0,0.58,0,0
120,0,0,0,0,11.25,0,0,32.67,0,0,0,0,7.59,0,0,7.29,17.96,0,0,0,0,1.57,0,0,0,0,0,5.85,0,0
