stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.69,0,0,0,0,0,0,0,5.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,368.24,34.31,0,196.49,0,0,0,60.35,2.77,12.21,0,0,0,18.47,2.08,0,304.27,3.94,0,290.24,1331.32,0.87,9.01,208.89,0.87,0,2.96,9.83,0,0,3.5,99.94,0,0,0,0,0
 24-34,0,0,2.07,2.7,269.24,13.22,0,249.34,0,5.18,7.73,283.57,0.67,43.6,0.6,1.21,0,60.99,3.48,0,938.9,2.01,4.3,628.53,2778.95,3.63,15.58,141.07,0,0.99,8.04,2,2.9,0,3.04,348.52,0,0,11.47,0,0
 36-46,0,0,0,0,88.18,8.18,0,176.52,0,9.78,35.89,147.28,0,72.33,0,14.55,0.74,59.43,0,0,1113.78,0,66.04,323.39,1750.81,1.73,6.03,84.24,0,6.78,7.58,6.08,1.02,9.33,0,221.65,0,6.96,2.33,0,0
 48-58,0,1.29,0,0,85.98,0,0,69.4,0,8.34,36.55,21.47,0.68,35.52,0,0,0,53.99,0,0,905.17,1.21,83.06,113.2,560.52,0.72,11.46,107.53,0,8.97,3.86,0,0,0.37,0,41.31,0,15.82,2.11,0,3.5
 60-70,0,0,0,0,30.65,0,0,47.23,0,15.08,53.16,9.42,1.27,31.68,2.61,0,0,59.35,9.86,0,1385.78,0,100.13,46.95,352.62,0,10.88,62.06,0,14.41,2.03,0,0,0,0,6.69,7.3,38.36,1.5,31.19,7.75
 72-82,0,0,0.78,0,55.89,0,1.04,71.11,0,15.14,58.64,23.85,4.77,6.05,0,0,0,84.42,0,0,1933.46,0.55,48.65,32.69,369.63,0,4.7,65.64,0,7.43,0,0,0,0,0,12.62,11.52,75.18,4.65,61.41,3.13
 84-94,0,0,0,0,100.74,0,0,101.57,1.34,21.27,28.37,14.11,14.88,26.04,1,1.72,0,90.3,0,0,1547.33,0,76.01,31.86,285.2,0,11.92,109.78,0,23.66,10.71,0,0,1.07,0,6.63,17.04,56.47,0.61,62,0
 96-106,0,0,0.69,0,181.58,5.75,0,72.04,0.67,19.43,61.47,16.71,24.18,16.05,2.36,1.41,0,88.96,25.98,0.63,1682.62,2.12,48.01,22.29,248.98,3.02,13.22,136.36,0,48.27,27.17,0,0,0,0,27.18,35.61,34.54,8.12,87.66,0
108-118,0,0,4.44,0,148.39,4.8,0.66,25.95,0,23.12,34.29,17.5,16.76,6.54,1.62,4.79,0,91.05,2.72,0,1627.67,2.46,31.36,22.5,231.39,0.69,9.74,143.31,0,25.78,17.99,0,0.65,0,0,0.9,40.54,16.1,11.13,32.02,0
120,1.19,0,0,0,84.36,0,0,81.5,0,11.69,29.39,15.15,4.74,6.47,0,1.45,0,80.58,0,0,1254.99,3.12,71.07,41.41,203.96,1.08,27.07,82.16,0,2.67,6.84,0,0,0,0,0,1.22,11.67,5.46,43.81,0
