stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.94,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.19,0,0,0,0,0,20.01,0,0,0,0
 24-34,0,0,0,2.57,0,1.83,0,0,0.62,0,0,2.08,0.73,0,0.79,0,0,1.27,0,0.79,322.49,0,4.78,2.91,0,0,65.69,0,0,1.01,0
 36-46,0,0,0.85,0,0,9.33,0,0,3.07,0,0,0,0,0,0,0,0,2.01,0,1.88,566.08,0,3.48,0,0,0,172.75,0,0,0,0
 48-58,0,0,0,0.88,0,18.29,0,0,0,3.31,0,0,0,0,0,0,0.86,3.65,0,0.42,853.03,0.69,5.32,0,1.17,0,171.76,0,0.64,1.53,0.83
 60-70,0,0,0,0,0,50.76,0.58,0.87,0.62,1.59,0,0.59,0,8.93,0,0,0,5.04,0,0,1230.38,0,0,0,0,0,147.5,0,0,0.67,0
 72-82,0,0,0,0,0,32.94,0,0.65,0.79,16.52,0.56,0,0,0,0,0,0.95,14.54,0,0,1460.72,0,2.07,0.95,0,0,109.15,0,0,1,0
 84-94,0,0,0,5.43,0,72.67,0,1.24,0,15.74,0,0,1.29,2.01,0,0,0,4.67,1.92,0,906.07,3.01,0,0.86,0.83,0,46.3,0,0,0.66,0
 96-106,0,0,0,6.75,3.44,85.48,0,0,0,19.11,0,0,0,0,0,0.61,0,2.82,1.14,0,843.87,0,2.44,2.69,0,0,28.09,0,0,0,0
108-118,0,0,0,10.67,0,43.13,0,0,0,5.88,0,0,0,1.61,0,0,0,9.88,0,0,871.66,0,4.19,1.45,2.05,0,17.88,0.68,0,0.95,0
120,0,0,0,6.79,0,112.58,18.76,0,0,21.48,0,0,0,0,0,0,0,13.63,0,0,1317.96,0,10.88,7.23,0,2.89,36.25,0,0,0,0
