stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,174.49,3594.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.47,0,0,0,0,0,0,0,0,0,0
  5-6,166.53,3015.41,0,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,40.45,8.9,0,0,33.73,248.05,0,0,0,0,0,0,0,0,0,0
  7-9,104.04,129.43,0,182.84,0,0,0,351.74,0,0,0,0,0,177.74,0,0,0,0,0,0,0,0,0,0,0,3786.52,186.12,0,0,1461.32,141.07,32.31,0,22.65,0,0,0,0,0,0,0
 10-12,0,37.13,0,111.35,0,10.78,0,189.95,0,0,0,0,0,65.58,0,0,0,0,0,0,0,0,0,0,0,1948.8,70.55,0,0,732.01,29.22,0,0,56.7,3.11,0,0,0,0,0,0
 14-21,0,0,0,2.07,409.32,0,0,3.96,0,3.79,0,0,0.92,0,0,0,13.01,0,0.92,0,0,0,1.16,0,0,10.74,0,6.49,6.17,0,102.47,0,2.89,10.39,0,2.9,0,0,0,0,0
 24-34,0,0,0,1.9,243.25,0.62,0,3.02,0,16.25,0,0,2.44,5.02,0,0,33.37,0,25.21,2.39,1.63,5.16,22.43,0,1.4,85.68,0,42.81,3.5,0,274.56,0,0,22.76,0,6.12,0,0,0.64,0,0.61
 36-46,0,0,0,0,118.51,0,0,5.62,0,17.49,0,0,1.36,0,0,0,25.02,0,12.09,12.16,0,7.4,13.19,0,1.46,121.6,0,32.47,25.72,0,398.33,0,0,15.24,0,2.02,0,0,3.16,0,0
 48-58,0,0,0,0,91.37,0,0,11.37,3.16,27.16,0.41,4.55,1.31,21.02,0,0,9.35,0,12.75,3.03,0,3.32,11.01,0,1.85,100.71,0,12.03,4.08,0,211.98,0,0,22.45,0,6.79,0,0,0,0,0.71
 60-70,0,0,0.62,0,166.58,0,0,11.74,0,60.66,0.84,0,13.83,18.5,0,0,17.88,0,18.98,0,0,8.83,10.25,0.88,0,52.64,0,10.29,8.46,0,299.14,0,0,17.52,0,7.96,7.64,0,0,0,4.52
 72-82,0,0,2.83,0,132.21,0,0,16.95,0,26.57,4.82,2.59,31.55,4.49,0,0,13.82,0,32.56,4.88,0,29.4,27.41,0,0.53,43.12,0,21.05,21.73,0,270.78,0,0,16.66,0,2.99,18.93,0,1.37,0,0
 84-94,0,0,3.67,0,244.4,0,1.09,29.52,0,59.73,0,0.68,68.54,4.42,0.78,4.3,29.32,0,40.96,9.85,5.75,19.31,40.72,4.3,0,48.44,7.58,36.57,23.63,0,669.25,0,0,29.41,0,0,82.22,0,1.41,0,0
 96-106,0,0,1.15,1.08,327.26,1.06,0,33.4,4.47,47.51,0,9.47,81.21,0,0,3.33,58.29,0,67.61,28.44,0,14.02,51.81,0.66,0,56.93,0,67.9,29.33,0,706.57,0,0,10.44,0,7.6,98.14,0,2.11,3.38,0
108-118,0,0,4.13,1.79,308.09,1.66,0.49,21.4,0.76,81.31,0,13.74,97.63,0,0.89,4.81,59.75,0,49.31,10.68,0.5,12.25,53.84,0,0.99,83.67,1,47.01,19.44,0,743.03,0,0,29.91,0,0,106.91,1.77,2.59,1.79,0
120,0,0,0,0,266.81,2.46,1.14,36.92,0,80.28,0,3.94,67.37,0,0,1.19,34.18,3.19,36.95,18.79,0,9.71,34.32,0,0,140.23,0,39.43,28.35,0,489.92,0,0,25.36,0,0,26.5,0,1.96,0,0
