stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,64.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.21,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,31.03,0,0,25.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.63,0,0,0,0,15.34,0,0,0,0,0,0,0,0,31.61,0,0,49.36,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.34,0,0,0,0.87,0,0,1,0,0,0.92,0,0,0,0,0,0,5.48,0,0,0,1.54,0,8.77,0.92,2.65,0,0,0,0
 24-34,0,0,0,5.83,0,0,0,0,0,0,0.78,0,0,0.63,0,0,0,3.1,0,1.52,18.3,0,0,0,9.74,2.34,0,0,0,0,18.95,0,0.73
 36-46,0,0,0,4.5,0,0,1.63,0,0,0,4.9,0,0,0,0,1.36,0,0.83,0,1.03,4.32,0,0,0,1.76,0,0,0,0.87,0,21.14,0,0
 48-58,0,0,0,11.29,0,0,6.07,0,0.56,0,4.62,13.27,0,0.62,0,0,1.48,0.4,0,0.75,1.85,0,0,0,2.04,0.93,0,0,0,0,0.99,0,0
 60-70,0,0,0,3.23,0,0,3.11,0,0,1.55,3.63,5.92,0,0,0,0,7.16,1.87,0,0,6.64,0.62,0,0,0,0,0,0,0,0,4.54,0,0
 72-82,0,0,0,7.75,0,0,12.94,0,0,19.71,1.51,9.69,0,0,0,0.99,7.32,25.72,0,0,0.55,0,0,0,2.47,0,0.59,0,0,0,0,0,0
 84-94,0,0,0,16.76,0,0,10.37,1.26,0,20.4,1.3,10.42,0,1.25,0,0,34.53,15.11,1.84,0,4.16,0,0,0,4.4,2.17,0,0,0,0,1.66,0,0
 96-106,0,0,0,19.22,0,0,8.22,0.93,0,22.58,2.4,0,0.57,0,0.71,2.92,73.3,57.06,0,0,14.56,0,0.58,0,4.22,6.87,0,0,0,0,0,0,0
108-118,0,0,0.74,5.83,3.44,1.26,19.57,2.93,1.47,23.32,2.99,2.74,0,1.04,0,0,198.56,64.51,0.51,0.65,23.98,0,0.9,0,1.73,0,0,0,2.54,0.89,5.57,1.9,0
120,0,0,0,10.72,0,0,6.31,2.33,0,7.96,3.42,0,0,0,0,2.98,129.95,112.77,0,0,14.34,0,0,0,0,0,0,0,0,3.48,12.2,0,0
