stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.22,0,0,0,14.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.67,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.74,5.62,0,0,15.74,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.64,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.03,0.94,0,0,0,0,11.76,0,0,0.91,7.49,0,0,0,0
 24-34,0,0,0,2.76,0,0,13.13,0,0,0,1.04,0,0.76,0,0.81,0,0,0,0,10.84,0,2.25,69.27,0,0,0,0,1.43,0,0,0,2.98,21.21,0,1.25,0,0
 36-46,0,0,0,0,0,0,10.93,0,0,1.26,6.41,0,0.56,0,0,0,0,0,4.5,2.79,0.63,1.46,66.8,0,0,0.89,0,9.44,0,0,0,0.75,7.56,0,1.06,0,0
 48-58,0,0,0,0,0,0,21.68,0,0.4,0,5.65,0,0,0,0,0,0,0,0,7.21,0.43,1.73,46.21,0,0,0.7,0,0.38,0,0,0,0,10.05,0.42,0.42,0,0
 60-70,0,0,0,0,0,0,19.06,0,0,0,16.15,0,0,0,0,0,0.77,0,0,2.61,0,0.79,35.5,0,0,1.46,0,1.6,0,0,0,0,5.11,0,0,0,7.47
 72-82,0,0,0,2.02,0,0,11.51,0,3,0,4.33,0,0,0,0,0,0,1.62,0,2.59,0,0,19.32,0,0,0,0,0,0,0,0.57,0,3.12,0,0,0,0.67
 84-94,0,0,0,1.65,0,0,10.47,0,0,0.61,3.16,0.97,0,0,0,1.31,0,0,0,18.56,0.85,0.71,10.59,0.63,0,1.26,0,0,0,0,0,0,5.38,1.96,9.51,0,0
 96-106,0,0,0,2.08,10.3,0.77,17.9,0,0,1.81,4.73,0,0,1.62,0,1.05,0,0,0,19.59,0,3.65,13.52,0,0,0,0,2,0,0,0.84,0,0,1.88,1.67,0.64,0
108-118,0,0,0,5.59,2.05,3.16,8.05,1.02,0,0,6.75,1.04,0,0,0,0,0,0,3.85,13.06,0,4.45,29.13,0,1.82,0.98,0,2.21,0,0.48,0.7,0,0,0,0,0,3.71
120,1.12,0,0,2.33,0,2.35,19.09,0,0,3.1,18.88,7.8,0,4.72,0,0,0,0,0,41.16,0,2.29,48.59,0,0,3.15,0,10.93,0,1.12,0,0,12.38,0,0,0,2.08
