stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.87,0,0,0,0,0,0,0,0,0,0
  5-6,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.23,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,8.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.47,0,0,0,0,0,0,0,0,0,7.11,0,0,0,0,0,0,0,0,0,0,0,16.91,0,0,0,26.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,140.91,14.15,0,1.1,0,1.94,0,0,6.41,7.04,1.15,14.24,0,0,0,2.85,0,15.67,0,0,7.67,6.91,18.62,0.87,2.84,3.41,0,54.64,35.3,1.14,19.62,89.59,7.5,0,0,10.06,0,0
 24-34,0,0,0,8.11,2.02,0,2.55,0,0.92,0,0,0.63,0,1.85,36.39,0,0,0,5.2,7.63,0.89,0.77,0,1.41,14.95,0,1.74,0,0,0,22.4,0,0,0,0.86,0,0,0,15.87,0,7.77
 36-46,0,0,0,5.97,0,0,1.85,0,0,0.57,0,0,0,4.72,78.84,0,0.56,2.59,1.35,46.12,4.08,0,0,0.6,29.23,0,2.68,0,0,0,39.88,0,0.67,0,0,3.53,0,0,22.5,0,27.48
 48-58,0,0,0,5.68,2.05,0,1.89,0,1.61,0,0,0.49,0,3.7,82.27,0,3.28,0,0,38.93,3.32,0.41,0,0.81,12.37,0,2.21,0,0,0,40.32,0,0.52,0,0,3.41,0,0,7.51,0,60.06
 60-70,0,0,0,7.49,1.93,0,8.61,0,5.13,3.54,0.59,0,4,3.01,152.95,9.74,9.07,0,0,9.94,15.19,3.5,1.7,0,30.33,0,1.77,0,0,0,65.71,0,0,0,0,1.26,1.67,1.3,9.64,0,27.54
 72-82,0,1.87,0,6.95,8.04,0,8.47,0,2.85,3.64,0,5.85,0,3.6,54.04,6.84,6.18,8.84,3.06,6.84,19.09,1.05,3.84,0.69,23.78,0,1.26,1.97,0,0,13.37,0,1.4,0,0,0,1.01,0,13.2,0,37.34
 84-94,0,12.61,0,11.26,15.42,0,0.62,0,1.93,0,0,11.89,0,1.65,111.35,0,20.49,5.9,0.6,30.84,22.7,1.81,1.98,0,16.28,0,5.27,0.88,0,0,75.02,0,0,0,0,0,6.48,0.71,21.64,0,13.77
 96-106,0,6.51,0,40.53,14.39,0.66,11.81,0,10.98,0,3.23,12.32,0,29.04,180.1,5.88,17.34,8.59,10.72,3.55,51.76,5.6,7.81,0,34.02,1.13,6.17,1.95,0,6.56,125.71,0,2.83,0,0,0,4.77,4.93,48.39,10.03,34.18
108-118,0,2.06,0,31.39,9.68,2.96,13.03,0.54,10.12,0,6.03,17.53,0,2.29,163.01,1.94,33.41,4.79,2.46,2.09,27.93,0,2.49,0,35.66,0,8.41,0,0,2.03,74.95,0,3.04,0,0,0,0,2.04,32.61,0.42,43.03
120,0,0,0,25.51,4.31,0,2.47,0,9.73,0,0,27.72,0,4.46,153.44,0,18.35,4.01,0,0,29.71,17.7,0,0,15.6,0,17.36,0,0,0,71.24,0,0,0,0,0,1.63,0,41.4,0,0
