stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,64.07,925.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.48,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.39,669.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.44,0,4.06,0,0,0,21.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.44,11.01,0,0,3.87,0,0,11.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.98,0,0,0,37.71,0,0,5.62,0,0,0,7.85,0,0,0,0,0,0
 14-21,0,0,0,0,5.93,2.06,0,1.31,0,0,0,2.56,0,5.73,0,0,0,0,0,0,3.59,0,0,55.4,56.47,6.17,0,1.24,0.88,0,1.01,2.83,58.3,0,2426.72,5989.01,11.53,0,0,1.23,0,0
 24-34,0,0,0,0,10.65,1.39,0,20.59,782.93,0,1.47,3.54,0,4.45,0,1.12,0,0,0.84,0,16.17,0,0,244.15,290.67,0,0.63,0.71,0,0,17.77,0,4.78,0,991.69,3313.47,54.55,0,0,7.36,0,4.82
 36-46,0,0,0,0,0,0,0,22.92,1134,0,0,3.93,0,5.05,0,0,0,0,0,5.79,11.92,0,0,109.78,142.32,0,0,0,28.44,0,17.89,0.78,0,0.6,440.94,169.09,19.95,0,0,16.43,0,7.58
 48-58,0,0,0,0,0,0,0,51.45,499.59,0,0,1.7,0,6.27,0,3.62,0,0,1.02,5.8,11.29,0,0.69,125.65,151.31,0,1.37,3.13,0,0,1.73,0,0,0,155.58,0,38.55,0,0,1.72,0,1.9
 60-70,0,0,0,0,0.71,0,0,59.61,339.62,2.42,1.83,6.08,0,0,0,0,0,0,0,0,12.06,0,0.76,166.11,86.22,0,0,0,0.81,1.08,0.75,0,0,0,75.08,0,8.06,0,0,0.87,0,3.39
 72-82,0,0,0,0,2.67,1.75,0,17.45,248.84,0,3.61,8.95,0,1.79,0,0,0,0,2.52,0,16.16,0,0.76,130.33,54.03,0,0,0,0,1.4,0.75,0,0,0,36.56,0,2.71,0,0,7.42,0,0
 84-94,0,0,0,0,13.74,4.83,0,17.72,292.19,0.63,0,3.64,0,1.77,3.77,0,0.76,0,0,0,19.31,1.6,2.31,89.01,61.38,1.93,0,1.14,0,0.79,2.64,0,0,0.96,61.76,0,1.27,0,0,0.94,0,0
 96-106,0,0,1.15,0,1.81,13.35,0,94.5,579.64,3.58,1.01,14.7,0,1.65,1.56,0,0,0,11.09,0,41.36,0,3.8,82.69,131.81,1.17,0,0,2.41,0,20.94,0,0,0,68.19,0,11.4,1.97,0,4.57,3.6,2.85
108-118,0,0,0,1.47,4.28,19.99,4.5,106.55,710.71,2.35,0.87,10.73,2.82,1.97,3.17,0,8.74,2.08,5.51,0,42.85,10.57,4.88,131.88,198.07,0.51,2.05,0,0,2.78,11.55,0,0,0.45,108.59,0,3.65,5.58,2.1,1.75,0,0
120,0,0,0,0,7.11,7,0,56.59,715.11,0,0,13.2,8.14,5.73,9.95,0,0,1.76,0,0,60.64,9.06,0,154.09,227.92,0,3,6.93,0,0,13.98,0,4.48,0,56.94,0,9.15,0,0,19.36,2.31,7.58
