stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,70.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.35,115.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.36,6.25,0,0,15.3,0,5.11,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,24.87,0,0,0,0,0,20.27,0,0,0,0,0,0,0,0,0,0,93.96,13.33,0,0,11.61,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.77,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,3.38,29.02,0,0,0,0,2.88,0,0.91,14.19,2.4,0,0,0
 24-34,0,0,1.43,0,0.98,0,4.28,0,0,0,0,0,0,0,0,0.6,0,0.62,0,3.38,0,0,3,72.41,0.6,1.32,0,0,3.63,0,0,3.9,15.45,0,3.68,0
 36-46,0,0,0,2.83,0,0,13.46,0,0.69,0,6.33,0,0,0,0,0.61,0,0,0,4.25,0,0,1.64,93.19,1.28,1.13,0.8,0,2.7,0,0,0,25.37,0,1.32,0
 48-58,0,0,0,3.37,0,0,25.54,0.37,0,1.48,3.82,0,0.7,0.5,0,0,0,0.5,0,10.03,0,0,2.77,90.66,0,0,0.4,0,2.12,0,0,0,20.48,0,0.95,2.41
 60-70,0,0,0,1.02,0,0,52.74,0,0,0.9,9.39,0,0,0,0,0,0,0,0,12.38,0,0,0,127.84,3.53,4.08,0,0,7.66,0,0,0,10.89,0,1.46,0.77
 72-82,0,0,0,1.26,0.66,0,85.15,0,0,0,4.34,2.8,0,0,0.85,0,0,0,1.8,18.3,0.58,0,5.7,94.71,0,7.28,0.79,0,1.07,0,0,0,12.36,0.56,1.1,0
 84-94,0,0,0,0,4.4,0,79.13,0,0.57,0.65,5.37,0,0,1.44,0,1.71,0,1.78,0.98,8.91,0,0.66,2.06,40.74,0,0,2.58,0,9.7,0,0,0,2.04,0.71,4.91,0
 96-106,0,0,0,1.59,0,0,15.89,0,0,0,5.12,0,0,1.16,2,0.59,1.9,0,0,8.26,0,0,0.57,54.1,0,0.94,2.48,0,13.73,0,0,0,0,0,0,1.21
108-118,0,0,0,3.17,0,0.65,17.84,0,0.66,0,12.7,0.92,0,0,0,0.59,0,0,0,7.52,0,0,0.53,34.64,0,1.21,2.94,0,13.18,0,0.43,0,0,0.5,0,0
120,0,0,0,10.97,0,0,21.4,0,2.51,0,5.01,0,0,0,1.19,0,0,0,0,25.33,0,0,0,57.45,1.08,2.64,2.84,0,1.22,0,0,0,3.5,0,0,0
