stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,1261.29,20062.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.06,0,0,0,0,0,0,0,0
  5-6,2587.77,42113.22,146.44,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,1907.24,161.63,0,0,733.17,0,260.8,0,0,0,0,0,0,0,0
  7-9,316.43,1117.72,4725.1,0,0,677.13,0,0,0,0,95.49,0,0,0,0,0,0,0,29638.96,863.66,0,0,24063.13,0,19.58,10.58,0,0,0,0,0,0,0
 10-12,0,170.96,1207.09,0,0,67.44,0,0,0,0,4.63,0,0,0,0,0,0,0,5934.75,64.95,0,0,7743.83,0,9.23,5.62,0,53.24,0,0,0,0,0
 14-21,0,0,0,0,0,3.94,0,0,6.23,0,0,0,0,0,0,0,0,0,64.36,4.01,1,0,28.49,0,0,0,60.52,5.81,10.11,30.81,0,0,0
 24-34,0,0,0,1.75,0,3.91,0,0,5.74,0,0,0,0,0,0,1.9,0,0.64,197.56,0,0,9.89,0,0,0,0,0,181.93,0,3.01,0,0,0
 36-46,0,0,0,0,0,1.94,0,0,18.52,0.62,0,3.4,0,0,0,1.18,0,0,183.65,0,0,21.37,0,0,0,0,0,262.84,0,9.22,0,0,0.67
 48-58,0,0,0,3.29,0.81,18.86,0,0.66,12.74,0,0,0,0,0,0,0.41,0,0,174.18,0,0,28.41,0,0,0,0,0,301.06,0,9.22,0,0,0
 60-70,0,0,0,0,0,13.45,0,0,24.73,5.23,0,0,0,0,0,3.54,0,0,106.93,0,0,28.98,0,0,0,0,0,188.22,0,5.34,0,0,0
 72-82,0,0,0,0,0,20.85,0,0,16.28,1.8,0,0.56,0,0,0,4.2,0,0,154.96,0,0,90.09,0,0,0,0,0,60.42,0,0,0,0.99,0
 84-94,0,0,0,0,0,65.18,0,0,21.79,5.98,0,1.64,3.71,0,13.7,0.65,3.37,0,119.9,0,0,99.87,0,1.68,0,0,0,119.38,0,1.01,0,0,0
 96-106,0,0,0,1.38,1.34,105.61,2.79,2.64,14.97,3.07,0,0.7,0,0,0,1.38,0,0,96.12,0,0.57,77.18,0,0,0,0,0,34.51,0,0,0.67,2.7,0
108-118,0,0,0,2.32,0,182.59,0.9,0,7.76,6.02,0,0.94,0.75,0,0.51,3.52,0,1.11,168.46,0.5,0,97.07,0,0,1.54,0,0,9.13,0,0,0,0,1.69
120,3.35,0,0,16.32,0,117.9,0,0,0,8.17,0,16.34,0,4.13,0,0,0,0,158.43,0,1.45,59.16,0,0,0,0,0,10.97,0,0,0,0,0
