stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  5-6,8.37,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.36,8.59,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93,0,0,0,16.74,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,2.13,0,0,1.46,0,0,0,1.12,0,0,0,0,0,0,0,4.29,0,0,0
 24-34,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0.69,0,0,0,2.52,3.66,0,0,2.77,6.93,1.57,0,0,0,10.94,0,0,1.1,0,6.53,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,6.04,5.64,0,0,9.8,36.18,3.47,0,0,0,4.88,0,14.96,0.65,0,0.99,4.86
 48-58,0,0,0,0,0.41,0,0,10.44,0.37,1.07,0,1.57,0,0,2.69,0,0,9.37,9.64,0,0,0.68,25.6,0,0,0,0,6.27,0,0.76,7,0,0.94,4.37
 60-70,0,0,0,0,2.32,0,0,8.8,0,0.68,3.45,0.76,0,0,0,0,0,4.91,17.9,1.01,10.73,4.27,53.72,6.71,0.73,0,0,6.64,0,3.23,7.84,0,0.89,19
 72-82,0,0,0,0,0.82,0,0,16.08,0,0,1.65,3.5,0,0,0,0,0,6.26,25.09,0,0,1.99,48.18,4.1,2.94,0,0,0.96,0,3.38,1.38,0,1.23,10
 84-94,0,0,0.56,0,0,0,0,22.24,0,0.66,1.26,15.41,0.73,0,0,0.82,1.75,14.55,35.59,0,1.94,3.07,41.25,1.17,0,0,0,12.67,0.7,0,3,0,2.36,18.27
 96-106,0,0,0,0,1.7,0,0,58.83,0,0,4.6,7.31,0,0,0,0.56,0.71,5.17,24.26,5.3,0,5.03,54.94,0,0,0,0,0.61,0,0,1.71,0,6.99,2.27
108-118,0,0,0,0,9.01,0,2.74,25.99,0,0.52,0,9.56,0.44,0,0.53,0.59,12.49,11.15,43.42,0,0,1.3,39.8,0.44,0,0,0,9.85,0,0.76,0,1.21,1.11,11.97
120,0,0,0,0,6.1,0,0,31.6,1.25,0,4.69,0,0,0,0,0,0,1.6,70.23,0,8.33,1.68,44.89,0,0,9.06,0,0,0,0,32.75,0,4.4,0
