stage,blastomeres,eye,fin.epithelia,fin.mesenchyme,heart,immune,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,14.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.94,0,9.61,0,0
 14-21,0,0,0,0,0,0,0.81,0,2.73,0,0,0,0,0,0
 24-34,0,0,0.72,0,0,0,0,2.48,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0.63,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0
 60-70,0,0.8,0,0,0,0,0,3.31,0,0,0,0,0,0,0
 72-82,0,4.98,0,0,0,0,0.58,3.56,0,0,0,0.72,0,0,0
 84-94,0,1.11,0,0.67,0,0,4.2,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.83,0.67,0,0,0,0,0,0,0.92
108-118,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0
120,0,7.31,0,0,1.85,13.7,0,6.96,0,0,0,0,0,0,0
