stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,15.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.83,0,0,0,18.61,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.56,0,0,0,29.82,0,70.31,0,0,0,0,0,0,0,0
 14-21,0,0,5.86,53.18,0.98,0,0,0,0,1.01,0,0,0,0,2.93,0,0,29.89,1.15,4.78,0,0,0.93,1.22,0,0.85,3.73,0,0,0,0,0
 24-34,0,0,0,2.93,0,0,0,0,0.81,2.17,0,0,0,0,0,0,0.95,25.47,0,4.05,0.7,0,0,0,0,0,8.17,0,0,8.07,0,0
 36-46,0,0,0,0.69,13.73,0,0,0,0,5.16,0,0,0.84,0,0.7,0,0,54.81,0,3.06,0,0,0,0,0,0,34.34,0,0,10.66,0,0.81
 48-58,0,0,0,0,24.81,0,0,0,0,3.19,0,0,0.39,0,1.55,0,0.38,55.49,0,0.87,0,0,0,0,0,0,51.6,0,0,2.98,0,0
 60-70,0,0,4.99,0.67,27.1,0,0,8.07,0,3,0,0,0,0,8.3,0,0.67,37.26,0,0.6,0,0,0,0,3.27,0,22.15,0,0,0,0,0
 72-82,0,0,1.98,2.03,22.4,0,0,5.8,0,6.83,0.93,0,0.64,0,5.59,1.11,9.13,57.51,0,1.33,0,0,0,0,0,0,15.59,0,0,2.21,0,0
 84-94,0,0,5.22,0,17.28,1.26,0,0,0,12.05,0,0,0,0,11.88,0,0.56,39.07,0,1.37,0,0,0,0,0,0,4.34,0.57,0,2.47,0,0
 96-106,0,0,8.37,1,1.07,0.62,0.71,8.17,0,13.79,0,0,0,0,8.74,1.3,0.88,22.29,0,0,0.73,0,0,0,0,0,23.3,1.24,0,3.23,0.61,0
108-118,0,0,11.44,0,8.53,1.38,0,3.41,0,6.6,0,0.43,0.69,0.7,5.8,0,2.09,29.01,0.81,1.63,0,0,0,0,0,0,8.61,0.68,0,1.77,0.57,0
120,0,3.64,7.28,1.12,36.21,11.55,0,8,0,6.19,0,12.97,0,0,31.37,0,0,62.92,1.24,1.62,0,0,0,0,0,0,15.13,3.43,2.71,6.16,0,0
