stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,32.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.16,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.57,0,0,0,0,0,0,33.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.12,13.27,0,0,49.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.31,0,8.22,0,0,0,18.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.47,24.85,0,0,91.34,0,12.8,0,44.84,0,11.59,0,0,0,0
 14-21,0,0,0,2.38,26.14,2.88,0,18.17,0,0,0,1.6,0,0,0,0,0,0,55.13,8.88,24.41,0,7.14,88.97,4.5,0,2.01,0.87,0,1.23,19.87,0,1.38,15.54,28.66,0,0.85,0
 24-34,0,0,0,2.39,3.49,0,0,15.48,0,0,0.86,2.34,1.28,0,1.04,0,0,0,72.91,46.92,6,0,1.03,61.89,0,0,2.22,0,0,0,0,0,0,0,9.66,0,5.76,2.33
 36-46,0,0,0,0,1.61,0,0,22.88,0,0,0,0,0,0,0,0,0,0,37.47,6.52,6.77,0.96,1.28,19.24,0,0,0,0,2.11,0,0,0,0,0,1.99,0,1.76,0
 48-58,0,0,0.55,0,0.9,0,0,9.9,0,0.38,0,1.58,0,0,0,1.47,0,0,2.93,0,3.84,0,0.73,7.07,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.76,0,0,3.14,0,4.77,0,0,0.86,0.68,0,0,0,0.59,0,0,12.37,0,2.85,0,0,13.55,0,0,7.87,0,0,0,0,0,0,0,5.41,0,0,0
 72-82,0,0,0,0,1.18,0,0,9.29,1.95,0,0,2.11,0.94,0,0,0,0,0,3.09,0,5.25,0,0.54,10.19,0,0.74,0,0,0,0,0,0,0,0,1.64,0,1.62,0
 84-94,0,0,3.91,0,1.58,0,0,7.15,0,0,1.63,2.73,3.36,0,0,0,0,0.69,0,0,6.05,0,0,8.4,0,0,1,0,0,0,0,0,0,0,0,0,9.72,0
 96-106,0,0,1.04,0,1.34,0,0,13.69,0,0,0.57,1.41,3.62,0,0,0.58,1.06,0,0,0,3.82,0,0,1.78,0,0,5.23,0,0,0.85,0,0,0,0,0,0.9,0,0
108-118,0,0,2.11,0,0.6,0,0.43,20.92,0,0,0,5.6,1.07,0,0,0,0,0,0,0,9.07,0,0.91,5.75,0,0.72,0,0,0,0.48,0,0,0,0,0,0,0,0
120,0,0,3.64,0,1.19,0,0,12.92,0,0,0,8.13,1.2,0,0,0,0,0,0,0,13.09,0,0,16.09,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0
