stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,12.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.82,0,0,0,0,0,0,0,0,0,0,15.96,0,0,0,11.93,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.27,3.73,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,89.26,8.03,0,0,62.61,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.72,3.84,0,5.33,0,0,0.95,2.06,0,0,0,0,0,0,1.87,7.54,0,0,6.52,59.82,0,0,0,0,0,0,11.21,0,5,25.13,0,0,0,0
 24-34,0,0,0.79,3.15,0.6,2.51,0,0,1.26,0,0,0.79,0,0,0,0,1.37,8.07,0,0.89,4.61,131.24,1.86,1.72,1.55,0,1.14,0.62,0,0,0.62,27.97,0,0,3.2,0.77
 36-46,0,0,0,0,0,1.47,0,0.81,2.76,0,0,0,0,1.32,0,0,0,16.27,0.68,0,3.97,151.91,0,0,0,0,0,0,0,0,0,54.91,0,0,0,0
 48-58,0,0,0,0.42,0,10.18,1.05,0.64,17.58,0,0,0,0.4,0,0.38,0,0.4,23.2,0,0,2.25,239.25,0,0,0,0,0,2.37,0,0.43,0,34.16,0,0,0,1.8
 60-70,0,0,0,4.23,0,25.69,2.41,2.56,34.32,0,0,0,0,0,0,0,0,12.17,0,0.69,0.6,601.42,0,0,0,0,1.19,0,0,0,0,53.26,0,0,1.09,0
 72-82,0,0,0,0.71,0,109.05,0.66,0.59,36.49,0,0,0,0,0,0,0,0.64,22.03,0.88,0,1.51,733.54,0,0,0,0,0,1.41,0,0,0,36.22,0,1.42,0,0
 84-94,0,0,0,1.92,1.27,83.28,1.13,0,9.88,0,0,0,0,0,1.38,1.65,0,21.32,0,1.3,2.7,413.38,0,0,0,0,0,9.54,0,0,0,50.82,0.9,0,0,0
 96-106,0,0,0,2.78,0,115.73,0,0,45.52,0.7,0,0,0,3,0.92,0,0,19.35,0,4.1,0,393.49,0,1.13,1.68,0,0,7.79,0,0,0,19.26,0,0,0,0
108-118,0,0,0,5.4,0,140.51,0.43,0,12.15,0,0,0,0,0,0,0,0,6.88,1.14,0.81,0,488.88,0,0,0,0,0,9.59,0,0,0,29.07,0,0,0,0
120,0,0,0,14.7,1.79,111.18,3.36,0,11.01,1.38,0,0,0,0,0,0,0,25.89,0,0,0,671.61,0,17.09,4.69,0,0,5.6,0,0,0,7.25,0,0,0,0
