stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,45.05,277.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.03,126.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,32.64,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,145,21.01,0,0,89.37,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.18,0,3.62,0,0,0,61.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.56,0,0,0,60.38,0,0,0,0,9.66,0,0,0,0,0,0
 14-21,0,0,0,0,2.85,0.81,0,4.27,0,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0,0,3.41,26.34,0,0.85,0,0,4.46,1.86,0,0,2.72,9.72,0,0,0,0,0
 24-34,0,0,0,0,15.99,0,0,7.49,0,0,0,1.45,2.56,0,5.25,0,0.86,0,0,1.2,0,12.76,2.33,0,2.74,61.12,5.36,0,0,0,22.93,0,0,0,2.07,13.57,0,0,1.24,0,0
 36-46,0,0,0,0,6.17,0.73,0,5.27,0.64,0,0,4.39,0,0,0,0,0,0,0.68,0,0,6.71,2.15,0,2.76,38.15,3.09,0,2.98,0,9.3,0,0,2.81,0,11.87,0,0,5.83,0,0
 48-58,0,0,0,0,3.06,0,0,22.16,0.82,0.38,1.28,6,0,0,0,0,0,0,0,0,0,10.5,0.57,0,1.05,45.62,1.42,1.07,0,0,15.72,0,0,0,0,11.76,0,0,1.73,0,1.38
 60-70,0,0,0,0,8.57,0,0,9.46,0,7.55,0,2.34,0,0,0,0,0,1.16,0,0,2.31,45.91,0,0,4.36,21.49,0,1.02,1.6,0,12.44,0,0,0,0,8.76,0,0,0,0,0
 72-82,0,0,0.87,0,4.67,0,1.04,37.38,0,1.43,0,4.21,0,0,0,0,0.75,2.58,0,1.36,0,27.96,0,0,0.75,19.39,0,0,0.67,0,7.51,0,0,0,0,3.86,0,1.42,3.7,0,4.73
 84-94,0,0,0,0,5,13.9,0,14.6,0,3.85,0.69,3.71,8.67,0,1.12,0.56,1.38,0,0,0.83,0,14.25,2.12,1.32,1.97,35.14,1.28,0,4.1,0,38.47,0,0.94,0,0,0,1.14,0,5.71,0.66,0
 96-106,0,0,0,0,10.37,3.03,1.07,4.58,0.93,0,0,5.73,0,0,0,0,2.69,0,0,0,0,5.72,0,0,0,18.93,0,0,3.97,0,12.58,0,0,0,0,1.73,0,0,3.53,0.61,4.62
108-118,0,0,0,0,10.25,6.65,1.65,21.59,0.58,9.89,0,19.21,0.68,0,0,3.49,0,0.89,1.68,0,0.61,28.97,0,0,0,15.01,0,0,20.66,0,10.29,0,0,0,0,0,0,0,1.41,1.69,0
120,0,0,0,0,42.33,3.12,0,25.94,0,1.01,0,9.72,0,0,0,0,5.09,0,0,0,1.61,21.37,0,0,5.43,33.76,11.66,1.61,0,0,3.82,0,0,0,0,0,0,0,14.26,3.36,0
