stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  5-6,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0
 14-21,0,0,0.8,2.28,0,0,0,2.22,0,0,0,0,0,0,2.02,0,0,0,19.85,0,0,0,2.19,0,0.94,0,7.56,0.86
 24-34,0,0.62,0,4.41,0,0,0,0,0,0,0,0,0,0,0.83,0,0,2.16,57.25,0,0,0,0,1.17,0,0.88,17.84,1.08
 36-46,0,0,0,6.67,0,0,0,2.54,0,0,0,0,0,0,4.37,0,0,0,31.31,0,0,0,0,0,0,0,8.63,1.69
 48-58,0,0,0.79,11.6,0,1.03,0,4.78,0,0.55,0,0,0,0,15.9,0,0,0,44.66,0,1.07,0,0,0,0,0,4.53,0
 60-70,0,0,9.59,13.19,0,0,0,1.31,0,0,0,0,0.61,0,2.8,0,0,0,28.69,0,1.23,0.65,0,1.08,0,0,2.72,0
 72-82,0,0,2.05,11.54,0,0,0,2.13,0,0,0,0,0,0,5.24,0,0,1.42,10.37,0,0,0,0,0,0,0,3.08,1.41
 84-94,0,0,0.87,3.02,0,2.16,7.16,0.82,0.71,1,0,0,0,0,8.45,0,0,0,20.65,1.68,0,0,0,0,0,0,0,0
 96-106,0,0,1.61,6.32,0.9,0,0,0,0,0,0,0,0,0,3.12,0,0,2.86,11.83,0,0,0,0,0.73,0,0,0,0
108-118,0,0,0.43,1.95,0,0.49,0,0.93,0,0,0.75,3.08,0,6.77,4.77,0,4.77,1.26,7.83,0,1.68,0,0,0,0,0,0,0.46
120,0,0,0,29.1,0,1.8,0,18.62,0,0,1,0,0,0,2.49,1.47,0,0,26.49,0,0,0,0,1.09,0,0,5.23,0
