stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.82,75.55,2344.19,127.31,0,26.64,0,0,0,150.53,15.76,1.92,3.69,2.86,3.41,0.87,0,1.04,0,1732.88,16.26,0,3701.92,543.14,312.52,0,70.38,4.28,0,2.1,1.44,358.14,1.06,437.88,2987.4,1589.63,0,0,5.8,0,0
 24-34,0.88,0.62,46.37,4235.98,66.97,0,142.49,89.64,66.98,200.29,367.51,19.71,2.21,88.96,0,10.08,3.34,32.67,31.87,2.27,10820.08,74.08,21.22,9573.34,2195.03,265.89,11.91,132.22,32.3,5.88,54.11,1.96,21.12,16.43,311.99,960.23,2759.24,0,0,76.93,0,17.41
 36-46,16.91,0.77,0,3873.53,6.35,0,144.41,118.67,254.13,875.79,316.77,4.05,0,124.71,14.91,21.83,11.98,77.68,2.63,12.73,19617.83,35.46,90.59,9198.5,1637.8,41.29,13.5,152.68,0,2.47,33.21,2.81,35.09,32.49,200.19,21.45,1771.95,0,6.91,20.01,0,9.67
 48-58,0.77,0,0,3340.45,7.64,0,511.95,70.98,420.43,1033.16,315.03,0,5.91,105.57,25.11,0.96,22.96,41.3,7.1,21.36,26629.58,38.7,224.83,6775.96,2582.43,84.23,21.07,228.54,7.33,19.08,49.88,0,3.76,0,97.35,0.55,850.44,0,35.68,20.72,7.88,41.69
 60-70,1.61,0.6,0,2484.34,6.06,0,592.32,39.05,319.63,810.29,201.36,12.49,11.3,93.2,23.73,15.79,8.9,42.07,18.81,4,35995.57,47.58,481.08,4547.07,1510.49,18.88,18.65,319.6,0.81,65.67,28.55,1.28,0,10.45,57.54,0,348.08,0,303.68,21.23,159.92,41.52
 72-82,0,2.79,3.31,2112.78,56.72,5,1693.67,59.3,278.84,1308.38,326.12,16.11,0,109.97,21.31,3.75,22.57,29.38,6.54,1.69,47811.77,40.74,672.55,5284.48,1980.36,12.45,24.51,450.7,0,79.25,27.71,0.85,8.75,13.84,24.37,0,282.15,7.05,482.44,77.89,601.97,45.15
 84-94,5.55,3.42,0,3455.95,25.54,4.24,2113.42,45.13,561.76,749.67,259.56,10.16,0.91,115.69,44.45,11.12,32.42,26.14,19.35,9.46,36719.32,39.82,706.18,3285.2,1070.6,18.88,10.39,523.63,0,39.74,34.09,0,0,22.59,10.89,0,195.92,4.25,402.32,53.22,632.17,23.6
 96-106,0,2.54,0,3812.07,127.59,7.2,1242.33,23.19,531.88,693.84,360.47,23.73,0,191.24,47.14,15.47,11.68,30.39,55.03,8.6,32286.98,65.89,512.74,2415.12,2027.25,9.02,33.04,551.52,0,165.91,97.01,1.35,0,29.95,9.87,0,102.92,11.57,401.35,99.58,662.99,17.19
108-118,0,0.97,3.42,3781.22,45.57,16.06,920.16,11.26,710.32,571.15,292.71,7.44,0,76.41,37.9,12.8,22.88,18.4,14.82,5.12,35368.47,36.44,602.47,2044.47,1942.13,3.75,24.51,560.51,0,214.79,36.59,0,0,11.79,4.9,0,68.26,14.63,327.6,53.97,623.41,18.94
120,1.19,3.29,0,3250.53,38.41,4.57,792.51,13.59,586.87,580.81,244.85,10.25,0,125.67,43.93,7.61,8.92,5.89,61.58,0,36673.63,25.84,938.74,2232.28,1747.72,10.31,25.82,507.36,0,312.44,31.98,0,0,1.97,1.42,0,59.45,23.69,359.38,55.39,935.02,20.01
