stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77,0,0,0,13.57,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.58,0,0,0,0,0,0,0,0,170.85,0,0,0,0,0,0,0,0,0,0,1.77,7.99,0,0,0,0,0,0
 24-34,0,0,0,25.73,0,0,0,0,0,0,0,0,27.32,0,0,0,0,6.49,0,0,0,0,0,1.83,0.93,0,0,0,0,0,0
 36-46,0,0,0,58.66,0,0,0,0,0,1.56,0,0,1.56,0,0,0,0,9.21,0,0,0,0,0,0,3.35,0,1.61,0,0,0,5.47
 48-58,0,0,0,92.18,0,0,0,1.99,0,0,0,0,0,0,0,0,0,1.14,0,0.37,0,0,0,0,12.38,0,1.82,0,0,0,6.22
 60-70,0,1.26,0,1352.91,0,0,0,3.86,0,0,0,0,0,0,2.49,0,0,37.16,0,1.17,0,0,0,0.63,23.05,0,1.2,0,0,0,22.08
 72-82,0,1.9,0.85,2773.69,0,0,0.55,10.62,0,0,0,0,2.65,0,16.81,1.31,0,90.15,0,1.28,0,0,0,7.57,14.31,0,5.38,0,1.79,0,26.07
 84-94,0,15.69,8.01,3444.57,0,0,0,6.69,0,0,0,0,13.7,0,16.63,3.22,1.27,49.56,3.8,3.89,0,0,0,1.09,10.4,0,0,1.25,0.73,0,6.75
 96-106,0,9.21,5.34,3266.23,3.46,0.58,0.93,5.18,1.9,0,1.64,1.03,0,0,17.39,0.84,0,75.55,0,2.31,2.57,0,0,2.43,22.65,1.19,2.47,2.14,0.96,0,4.7
108-118,0,12.11,7.64,3083.9,0,0,0,9.9,0,0,1.5,0.6,4.18,4.49,19.94,0,0,95.94,0,1.44,0.43,0,2.27,18.07,23.48,0,7.86,0,0,2.41,4.66
120,1.12,8.15,4.13,3009.14,2.28,11.78,0,6.75,0,0,0,0,4.65,0,15.79,0,3.33,66.01,4.31,0,2.43,0,0,1.33,3.99,0,4.57,0,0,0,0
