stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.62,467.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.19,171.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.14,5.32,0,0,2.16,0,0,0,0,0,0,0,0,0.81,0,0,5,0,3.35,0,0,0.85,4.2,0,0,0,10.38,1.81,1.03,0,0,0,10.11,0,0,0,0,0
 24-34,0,0,0.66,0,7.66,0,0,2.28,0,0,0,2.78,0,0,0,0,7.19,0,0.86,0.77,0,0.92,0.91,0,3.1,41.12,1.41,8.98,0,32.02,0,0,3.03,0,1.5,16.22,0,0,0,0,0
 36-46,0,0,0,0,3.52,0,0,11.49,0,1.6,0,1.82,0,0.76,0,0,2.9,0,1.75,0,1.14,4.47,3.86,0,1.36,146.14,0,1.2,3.22,53.17,0,0,0,0,0,25.58,0,0,8.17,0,0
 48-58,0,0,1.09,0,4.13,0,0,24.83,0,1.86,0,7.15,2.3,0.54,0,0.37,1.01,0,5.96,0,2.91,14.48,0.95,0.79,1.34,250.23,0,2.78,8.77,46.24,0,0,0,0,0,64.67,0,0,0,0,0
 60-70,0,0,0,0,12.47,0,0,63.79,0,1.81,1.03,15.12,1.23,0,1.38,0,9.09,0,0,0,0,20.48,0.62,0,0,374.56,0,6.32,8.95,42.1,0,0,0,0,0,62.14,0,0,0,0,3.83
 72-82,0,0,1.3,0,8.53,1.45,0,155.64,0,5.06,1.69,13.78,12.36,0,0.82,2.45,3.35,0,4.33,0,1.32,47.06,2.46,0,2.5,445.03,1.67,5.44,1.58,44.76,0,0,0.73,0,0,38.89,0,0,8.62,0,0
 84-94,0,0,0.7,0,28.39,1.46,0,131.18,0,4.62,0.75,27.49,7.03,0,0,1.67,2.47,0.79,0.66,1.54,3.31,25.18,4.61,0,1.02,252.5,1.11,17.28,9.03,83.03,0,0,0,0,0,33.7,4.72,0,3.68,0,0
 96-106,0,0,1.15,0,27.82,2.23,3.58,90.48,0,3.34,0,16.3,9.81,0,0,2.29,7.08,0,2.52,0,0,25.06,6.2,0,2.88,251.19,1.51,6.36,10.91,72.28,0,0,1.33,0,0,14.92,6.33,0,13.04,0.69,0
108-118,0,0,0,0,29.48,0,2.91,115.92,0.65,7.62,1.7,19.78,14.96,0,1.9,4.75,9.51,0,4.23,0.76,0,45.39,0,0,2.21,308.83,0,16.51,10.26,90.75,0,0,3.13,0.48,0,18.45,2.03,1.18,16.54,0,0
120,0,0,0,0,16.28,0,0,117.22,0,2.35,0,18.31,4.11,0,0,4.72,3.26,0,6.09,0,0,16.16,1.49,4.29,1.87,446.7,1.45,4.19,8.23,65.86,0,0,1.79,0,0,21.22,0,0,7.61,0,0
