stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,193.98,2461.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.19,0,0,0,0,0,0,0,0,0,0,0
  5-6,130.75,2583.54,0,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,31.13,70.7,0,0,0,0,0,0,0,0,0,0,0
  7-9,37.46,98.3,0,57.15,0,0,0,111.95,0,0,0,0,53.32,0,0,0,0,0,0,0,0,0,0,0,1207.98,69.07,0,0,386.85,0,3.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.5,0,13.74,0,0,0,92.61,0,0,0,0,34.28,0,0,0,0,0,0,0,0,0,0,0,799.51,36.17,0,0,316.61,0,5.47,0,21.06,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.33,9.51,4.38,0,5.72,0,0,3.99,0,0,0,0,0.9,0,0,0,0,5.92,0,0,7.63,110.67,3.96,0,0,1.33,0,0.9,22.99,0,2.01,22.31,57.78,0,0,0,0,0
 24-34,0,0,0,0,1.5,0,0,12.69,0,0,6.38,0,0,0,0,0,0,0,0,0,7.37,0,0,7.56,172.6,0.75,2.01,0.96,0,5.97,0,0,0,0,1.89,40.88,0,0,0.61,0,0
 36-46,0,0,0,0,0.61,0,0,22.99,3.79,1.22,4.98,0,0,0.88,0,10.06,1.91,0,0,0,11.18,0,0,1.87,197.02,0.57,0,0.61,0,3.35,0,0,3.56,0,0,42.3,0,0,0,0.78,0.57
 48-58,0,0,0,0,1,0,0,70.49,0.88,1.01,9.94,0.58,0,0,0,0,0.39,0,0,0,19.51,0,0,3.41,242.94,0,0.65,0,0,3.65,0,0,0,0,0,44.66,0,0,0,0,2.41
 60-70,0,0,0,0,0.73,4.47,0,118.39,0,1.21,9.09,0.75,0,1.38,0.6,0.59,6.95,0,2.6,0,29.73,0,0,3.7,223.48,0,2.13,1.81,0,0.63,0,0,1.84,0,0,30.48,0,0.59,0,0,3.3
 72-82,0,0,0,0,0,0.92,0,127.73,5.77,2.51,9.02,0,0,0.75,0,0,1.22,0,0,0,19.58,0.92,0.75,3.52,131.89,0,0.88,0,0,4.09,0,0,0,0,0,6.69,0,0.96,1.93,0.79,2.76
 84-94,0,0,1.48,0,4.49,0,0.76,59.88,0,0,13.11,0,0,0.88,1.84,1.35,0.86,0.92,20.08,0,12.32,0,0,6.67,115.53,0,1.53,2.5,0,2.55,0,0,0,0,0,6.94,0,0,3.5,2.71,0
 96-106,0,0,0,0,4.37,2.19,0,48.69,0.91,0,6.44,0.74,0,0.95,3.07,0,2.12,2.48,10.43,0.98,10.47,0,0.73,2.16,91.83,0,4.13,8.27,0,3.7,0,0,0.6,0,0,3.73,0.61,0,3.82,1.49,1.59
108-118,0,0,4.7,0,3.85,0.64,0.44,51.65,0,1.05,14.87,1.15,0,0,0,1.08,0,0.63,1.6,0,12.39,0,1.39,3.21,145.1,0,0.6,3.18,0,2.56,0,0,0,0,0,0.46,0.71,0,4.57,0.73,0
120,0,0,0,0,13.31,0,0,93.9,0,0,3.8,0,0,0,5,0,3.02,3.78,0,0,24.61,1.56,0,2.43,204.39,4.5,5.76,0,0,9.62,0,0,0,0,0,30.87,0,0,6.33,1.43,1.64
