stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,137.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.24,192.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,57.71,3.63,0,0,38.86,0,6.94,0,0,0,0,0,0,0,0
 10-12,0,0,4.47,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,124.84,0,0,0,30.84,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.98,0,1.76,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,31.5,0,0,0,0,0,0,0,0,2.82,7.49,0,0,0,0
 24-34,0,0,0.6,1.41,0,9.21,0,0,0,0,0,0,0,0,0,4.48,0,0,0,26.98,0.87,0.94,2.04,0,0,0,0,1.21,1.72,8.43,0,1.49,0,0
 36-46,0,0,0,2.6,0.76,86.6,0,0,1.56,0,0,0,0,0,0,3.5,0,0,1.92,19.92,0,1.12,0,0,1.9,0,0,1.04,0,4.81,0,1.33,0,0
 48-58,0,0,0,1.66,0,629.24,0,1.39,3.76,0,0,0,0,0,0,2.48,0,0,0,70.93,4.25,0,0.37,0,2.18,0,6.1,7.79,0,4.06,0,0,0,0
 60-70,0,0,0,0.86,0,1855.12,0,0,6.95,0,0.65,0,0,0,0,0.78,0,0,1.36,54.36,0,0,0.85,0,0,0,0,3.17,0,8.94,0,1.81,0,0
 72-82,0,0,0,3.76,11.07,1576.42,0.55,0,6.95,0,0,0,0,0,0,12.88,0,1.07,4.31,57.5,0,1.27,0.71,0,0.87,0,0,1.96,0,10.7,0,0,2.31,3.77
 84-94,0,0,0,2.62,0,1627.67,1,0,7.15,0,0,0,0,3,0,16.14,2.15,4.11,1.46,25.73,0.6,0,0,0,3.22,0,0,5.66,0,9.31,0,3.69,0,0
 96-106,0,0,0,3.67,0,936.4,0,0,14.07,0,0.64,0,0.66,0,0,16.62,3.08,0,2.02,39.92,0,0,0.71,0,6.47,0,0,3.42,0,5.32,0,0,0,7.86
108-118,0,0,0,2.06,0.54,815.59,0.64,0,12.36,0,0.88,0,0,0,0.97,4.88,0,0,1.21,55.33,0,0.64,0.72,0,0,0,0,11.04,0,0,0,5.11,0,0
120,0,0,0,2.86,1.62,1017.58,0,0,14.67,0,3.47,1.05,4.85,0,0,3.16,1.12,0,0,83.09,0,0,0,0,1.04,0,0,6.93,0,2.78,1.19,0,0,0
