stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.66,36.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.56,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,50.53,3.22,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,10.24,0,0,0,0,0,9.82,0,0,0,0,0,0
 14-21,0,0,0.87,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0.87,3.1,0,0,1.56,0,0,0,0.9,0,0,4.37,1.31,0,0,0,0,3.62
 24-34,0,0,0,0,0,0,2.93,0,0,0,1.87,0,0,0,0,0,0,1.46,0,3.43,15.85,0.81,0,0,0,0,0,0,0,0,1.31,0.86,0,0,2.56,0,0
 36-46,0,0,0,0.6,0,0,13.78,0,0,0.61,2.01,0,0,0,0,0,0,3.85,0,0,26.93,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0
 48-58,0,0,0,1.4,0,0,22.12,0.81,0,0,0.78,0,0,0,0,0,0,13.01,0,2.08,15.62,0,0,0,0,0,4.08,0,0,0,0,4.97,0,0,0,0,0
 60-70,0,0,0,1.63,0,0,24.96,0,0,0,2.37,1.72,0.93,0,0,0,0,114.26,0,2.71,20.57,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0,0
 72-82,0,0,0,8.24,0,0,26.68,0,0,0,19.89,0.72,0,0,0,0,0,278.32,1.08,9.59,10.58,0,0,0,0,0,0,0,1.4,0,0,2.87,1.33,1.03,2.12,0,0
 84-94,0,0,0,1.31,0,0,32.87,0,0,0,3.07,0.56,0,0,0,0,0.58,235.78,0,0,40.85,0,0,0,0,0,0,0,8.62,0,0,4.49,0,0,0,2.24,0
 96-106,0,0,0,3.22,0,0,29.68,0,2.73,0,18.21,0,0.8,2.48,0.61,0,2.43,291.53,1.85,2.26,31.34,0,1.56,1.17,0,0,4.35,0,70.4,0,0,1.12,0,0,2.78,0.68,5.09
108-118,0,0,0,5.88,0,0.45,9.51,0,0.93,0,11.2,0,0,1.22,0,0,11.84,360.09,0,5.43,28.66,0,0,2.29,0,4.79,0,0,86.16,0,0,0,0,3.56,0.96,1.93,9.17
120,0,0,0,4.72,1.47,4.06,18.95,2.27,0,0,27.98,0,0,2.42,0,1.92,12.05,323.72,0,6.4,76.41,0,0,3.02,0,0,0,0,67.24,0,0,0,7.23,0,0,0,0
