stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.21,0,21.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,44.94,92.38,7.78,0,0,0,0,0,0.82,0,0,0,0,1.07,0,0,1.44,0,0,0,22.45,1.89,3.45,9.23,1.07,0,0,6.86,0,0,11.7,2.37,0,0,1.07,0,0
 24-34,0,0,0.94,26.23,0,1.1,21.4,0,0,0,0,0,0,0,1.56,4.84,0,0.59,9.51,0,0,21.8,49.6,6.57,31.37,17.89,0,0,0.7,0,0,0,28.21,10.06,0,0,8.89,0,0
 36-46,0,0,0,22.72,0,0.65,41.25,0,0,1.42,0,1.7,0,0,8.56,1.74,0,0,15.23,3.65,1.71,19.96,99.32,1.22,17.97,23.12,0,0,0,0,0,0,3.49,11.72,0,0,6.61,0,1.11
 48-58,0,0,0,28,2.22,21.49,40.25,0,0,4.01,0,0,0,0,16.12,6.58,0,0.39,18.8,0,3.17,22.93,104.79,0.46,11.84,18.49,0,0,0,0,0,0,0,16.74,0,0,4.23,0,19.1
 60-70,0,0,0,11.19,2.2,16.49,41.27,0,1.47,5.73,0,3.05,0,0,14.42,2.27,0,0,34.73,0,1.95,32.82,126.52,4.21,13.92,13.11,0,2.46,0,0,0,0.67,0,4.31,0,5.11,4.64,1.32,7.99
 72-82,0,0,0,10.94,0,30.87,34.82,2.88,1.55,60.83,0,4.83,0.71,0,10.71,2.41,0,0,70.05,0,6.82,24.72,148.57,0,23.34,43.37,0,2.81,0,0,0,0,0,10.03,1.29,7.92,25.07,3.44,9.83
 84-94,0,1.19,0,10.4,1.2,19.76,31.66,0,0,40.88,1.05,2.31,1.02,0,5.18,2.87,0,0,55.38,0,14.8,31.34,112.07,0.69,50.35,37.92,0,0,11.51,0,0,0.61,0,1.05,5.12,7.19,32.54,10.18,11.69
 96-106,0,0,0,16.22,1.41,23.14,44.07,10.9,0.62,85.02,3.61,2.87,2.12,1.44,12.29,8.94,8.05,0,63.18,1.95,13.33,23.82,112.22,1.37,85.6,55.52,10.66,3.88,4.75,0,0,1.91,0,7,0.67,5.45,34.67,11.47,27.47
108-118,0,4.9,0,14.28,1.21,26.12,44.09,0.46,0,91.76,3.17,5.44,2.96,0.71,20.17,3.37,0,0,74.29,0,15.02,32.42,139.27,0.67,63.65,53.69,0,4.04,1.9,0,1.06,1.43,0,1.66,2.16,0,29.77,10.51,18.27
120,0,0,0,2.06,0,0,47.48,0,2.63,143.34,0,1.85,0,0,18.11,0,0,0,31.76,0,17.62,38.66,130.84,1.24,79.28,33.04,0,6.17,2.22,0,0,0,0,0,3.3,0,24.64,3.04,10.24
