stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.2,0,0,0,0,0,12.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.15,55.15,2.82,0,0,0,1.23,0,0,1.69,0,1.18,0,0,0,6.74,0,0,11.75,49.72,1.16,0,3.42,0,0,2.42,1.27,0,2.29,8.4,15.84,0,0,46.1,0,0
 24-34,0,0,0.87,2.11,5.18,0.64,0,0,0,2.62,1.02,0,4.77,0,54.76,0,0,0,20.16,0,0,5.38,51.35,0.83,0,0,0,0,0,0,0,0,0,12.77,0,0,242.87,0,0
 36-46,0,0,0,4.96,0,2.43,0,0,0,3.67,0,5.87,4.4,0,5.44,0,0,0,18.04,1.77,1.34,3.27,44.63,0,0,0,0,0,0.65,0,0,0,0,11.57,0,0,125.81,0,1.22
 48-58,0,0,0,1.04,1.7,2.92,0,0.39,0.38,14.79,0,8.5,13.35,0.37,1.83,0.55,0,0,42.87,1.67,0.52,4.34,25.22,0,0,0,0,0,0,0,0,0,0,9.46,0,0,78.06,0,0
 60-70,0,0.57,0,5.55,0,10.75,0,1.01,2.31,61.05,0.96,1.48,14.32,0,0,7.59,0,0,279.45,2.92,5.1,14.15,39.05,0,0,0,4.21,0,0,0,0,0,0,34.53,0,1.78,55.54,5.7,8.44
 72-82,0,3.38,0,12.82,8.41,80.31,0,1.61,0.94,134.22,8.55,0.51,18.59,0,2.43,11.96,1.04,3.3,614.27,1.11,8.44,8.38,41.87,0,0,3.03,9.08,0,0,0,0,0,0,6.93,6.54,19.45,98.03,30.39,3.58
 84-94,0,1.29,0.73,16.91,6.79,100.9,0,8.72,2.08,100.27,11.08,0.91,11.47,0,6.98,9.56,0,0.58,518.63,0,34.77,13.85,40.82,0,0,2.25,15.26,3,0,0,0.74,0,0,10.85,2.26,7.88,98.19,16.87,13.8
 96-106,0,2.98,0,49.33,12.43,104.53,0.93,6.78,9.92,151.66,18.25,0,26.39,0,8.95,3.88,0,4.97,687.36,2.77,27.87,19.86,73.54,0,0.89,3.22,28.68,2.34,0,0,0.82,0,0,14.66,8.16,11.31,81.58,41.71,0
108-118,0,3.08,1.61,69.29,2.69,72.68,0,9.85,4.17,191.93,14.87,0,10.86,0,10.75,10.59,0,1.67,925.25,3.85,12.6,13.71,66.75,0,0.5,0.96,33.74,2.03,0.85,0,0.61,0.66,0,11.21,5.73,15.08,101.9,40.11,0.52
120,0,0,0,83.98,17.4,66.69,0,25,2.41,203.19,18.41,0,4.1,0,2.56,4.78,4.72,12.82,661.72,6.12,14.06,22.83,42.12,0,1.7,0,13.12,0,0,0,0,0,0,0,5.08,11.63,93.16,17.97,0
