stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.36,69.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.78,0,0,0,0,0,0,0,0,0,0
  5-6,0,152.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0,20.69,0,0,0,15.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.23,13.07,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.95,17.87,3.76,6.21,0,0,0,1.05,0,0,0.92,0,0,0,0,0,3.1,0,0,11.23,152.17,3.29,0,1.65,1.44,3.91,16.01,1.92,0,8.65,36.32,0,0,1.18,0,0
 24-34,0,0,0.64,3.85,0,12.32,0,0,0,9.02,0.64,0,2.56,0,0,0.62,0,0,23.8,0,0,6.51,205.83,0,0,0,0,4.65,0,0.83,0,1.75,46.48,0,0,24.61,0,0.79
 36-46,0,0,0,3.66,0,23.02,1.1,0,0.62,22.86,0,0,2.17,0,0.77,0,0.66,0,15.22,0,0,3.19,175.37,0,1.45,0.71,0,16.11,0,0,2.71,0,58.23,0,0,2.59,0,1.7
 48-58,0,0,0,11.94,0,40.99,0,0,0,29.56,0.97,0,0,0,0,0,0,0.56,23.21,0,1.52,3.71,86.75,0,0,0,0,9.23,0,0,0,0,17.47,0,0,4.65,0,0
 60-70,0,0,0,6.02,0,47.11,0,0,0,28.65,0.58,0,0,1.66,0.58,0,0,0,18.16,0,1.27,0.8,60.56,0,1.5,0,0,3.11,0,0,0,0,5.29,0,0.59,0,0,0
 72-82,0,0,0,5.43,4.11,30.72,0,0,0,16.54,0,0,0,0.54,0.76,0,0.65,0,23.39,0.95,0.81,2.78,64.47,1.53,2.23,3.6,0,0,0,0,0,0,4.05,0,0,7.48,0,0
 84-94,0,0,0,2.28,0,12.4,0,0,0,3.92,0,0,2.56,0,0,0,2.13,8.01,9.53,0,5.44,0,22.49,0.57,0,0,0,4.99,0,1.04,0,0,12.66,0.57,1.03,0.72,0.63,0
 96-106,0,0,0,6.52,0,17.05,0,0,0.71,25.09,0.98,0,0,0,0,0,3.01,0,17.94,0,0,1.17,31.21,0,2.11,2.26,0,0,0,0,0,0,4.79,0,0,0.97,0.91,0
108-118,0,0,0,4.95,1.2,11.54,0,0.61,0,14.99,0,0,0,1.34,0,0.74,0.92,0,22.46,0.48,0,5.18,24.75,0,1.43,2.87,0,2.51,0,0,0,0,0,2.12,0,0,1.05,0
120,0,0,0,7.26,0,9.73,0,0,0,3.24,0,0,0,2.7,0,0,0,0,4.79,0,0,3.94,26.07,6.22,1.46,2.44,0,1.23,0,0,0,0,1.98,0,0,2.61,0,0
