stage,axial,blastomeres,endoderm,eye,glial,neural,notochord,paraxial.mesoderm
  3-4,13.35,18.53,0,0,0,0,0,0
  5-6,0,70.32,0,0,0,0,0,0
  7-9,0,0,4.01,0,0,45.12,0,21.59
 10-12,0,0,3.62,5.97,0,71.33,4.38,26
 60-70,0,0,0,0,0.72,0,0,0
