stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,24.9,245.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.72,321.09,0,0,0,0,0,0,0,0,159.66,0,38.98,0,0,0,0,0,0
  7-9,7.42,3.21,5.06,0,0,0,0,12.63,0,0,42.53,0,510.82,0,0,0,0,0,0
 10-12,0,9.84,11.21,0,0,0,0,0,0,0,90.17,32.71,1517.51,19.55,367.93,17.81,0,6.84,0
 14-21,0,0,0,7.15,1.77,0,0,0,0.83,4.48,16.77,0,1.04,1.12,1885.6,0,3.32,260.6,0
 24-34,0,0,0,0,1.6,0,1.36,0,0,1.44,12.55,1.46,0,0,25.12,0,0,60.97,1.77
 36-46,0,0,0,0,0,0,0,0,0,0,1.58,1.32,0,0.91,0,0,0,1.67,0
 48-58,0,0,0,0,0.41,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.93,0,0,0,0,0.73,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.67,0,0,1.47,0.76,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.84,4.68,0,0,0,0,1.26,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2,0,0,1.96,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0,0,0,5.79,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,39.34,0,0,0,0,0,0,0,0
