stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,55.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.96,0,0,12.69,0,0,8.68,0,0,0,0,0,133.96,0,0,24.74,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,175.54,0,0,83.69,0,0,0,0,0,0,0,0
 14-21,0,1.29,0,1.34,0,0,0,0,0,0,1.26,1.36,15,0.87,0,1.02,10.38,1.3,0,2.71,6.23,0,0,0
 24-34,0,1.5,0.62,0,0,4.53,0,0,0,2.7,2.7,0.6,26.45,0,5.2,0,2.69,0,1.26,0.7,10.91,0,0,0
 36-46,0,0,0,0.97,0,0,0,0,0.99,1.89,2.46,0,23.81,0,0.8,0,8.37,0,0,0,8.44,0.99,0,2.73
 48-58,0,0,0,0.4,0,0.7,0,0,1.24,0.9,4.54,0.48,25.77,0,7.23,0,2.15,0,0,0,8.72,0,0,0
 60-70,0,0,0,3.2,0,1.72,0,0,0,2.47,3.91,0.67,10.4,0,12.9,0,2.48,0,0,0,0,10.18,0,0
 72-82,0,0,0,0,0.83,7.19,0,0,0,0,18.28,0.73,19.31,0,17.96,0,4.42,0,0,0,2.52,1.96,0,0
 84-94,0,0,0,0,1.38,6.02,0,0,0,0,3.83,0,23.4,0,33.59,0,5.96,0,0,0,8.12,1.45,0,6.84
 96-106,0,0,0,1.67,8.48,2.51,0,0.89,0,0,2.8,0,19.76,0,25.37,0,9.91,0,0,0,3.27,0,0.91,0
108-118,0,0,0,0,0,4.85,0,0,0,1.45,2.6,0.5,9.88,0,39.07,0,8.4,0,0,0,0,1.46,0,0
120,0,0,0,7.59,0,0,0,0,0,0,0,0,31.79,0,38.01,0,8.03,0,0,0,0,0,0,0
