stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,21.51,343.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.33,596.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,11.17,0,0,0,9.04,0,0,0,0,0
  7-9,5.67,0,23.28,0,0,23.37,0,0,0,0,0,0,0,0,0,0,0,0,263.21,8.96,0,0,88.02,0,0,0,0,0,0
 10-12,0,0,28.86,0,0,7.73,0,0,0,0,0,0,0,0,0,0,0,0,170.22,4.45,0,0,29.73,0,0,8.36,0,0,0
 14-21,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,5.88,0,1.82,2.46,0.82
 24-34,0,0,0,1.73,0,3.94,0.7,0,0.61,0,0,0,0,0,1.9,3.1,0,0,5.4,0,0,0,0,0.65,0,0,0.62,1.8,0
 36-46,0,0,0,0,0,0.83,0,0,0.64,0,0,0,0,0,0,0,0,1.86,11.83,0,0,0,0,2.97,0,0,0,0,0
 48-58,0,0,0,1.74,0,3.67,0,0,0,0,2.77,0,0,0,0,0.6,0,0.74,6.74,5.31,0,0.39,0,4.74,0,0,0,2.61,0
 60-70,0,0,0,0,0,4.49,0,0,0,0,0,0,1.38,0,0,0,1.91,0.59,2.94,0,0,0,0,4.12,0,0,0,0,0
 72-82,0,0,0,0.6,0,0,0,0,0.9,0,0,0.53,0,0,0,0,0,0,0.99,0,1.39,0,0,0,0,7.39,0,0,0
 84-94,0,0,0,0,0,0,0,0.64,0,0.73,0,0,0,0,0,0,0,1.45,2.71,0,0,0,0,1.35,0,0,0,0.58,0
 96-106,0,0,0,0.56,0,0.98,0,0,1.09,0,0,0,0.64,0,0,0.95,0.77,0,0,0,1.07,0,0,2.15,0,0,0,0,0
108-118,0,0,0,2.34,0,0,1.14,0,0,0.82,0,1.1,0,0.67,0,3.95,0,1.07,0,0,0.6,0,0,2.32,0,1.49,0,0,0.52
120,0,0,0,0,4.24,0,0,0,0,0,0,0,0,1.82,0,0,0,0,7.64,0,0,1.86,0,2.87,1.12,0,0,0,0
