stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,10.9,111.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,137.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.48,0,8.54,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.44,3.67,5.25,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,1.29,0,0,0,0,3.12,0.83,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,1.08,0,0,4.55,1.05,0,0,1.5,0
 36-46,0,0,0,26.59,0,0,0,0,0,1.24,3.99,0,0,2.05,0,0,0,67.38,0,0,2.85,0,2.15,0.76,2.93,0,0,0,0.85
 48-58,0,0,0,1.42,0,0.8,0,0,0,0,0,0,0,3.03,0,0,0,80.44,0,0,4.9,0,3.4,0,5.65,0,0,3.29,0
 60-70,0,0,0,10.07,0,1.69,0,0,0.97,0,0,0,0,3.92,0,0,0.81,35.49,0,0,0.67,0,148.83,0.64,0,0,0,0.73,0
 72-82,0,0,1.97,5.22,0,2.22,0,1.27,1.35,1.9,0,0,3.14,1.6,0,0,0,72.21,0,0,2.12,0,59.33,0.58,0,3.05,0,16.72,0
 84-94,0,0,21.52,11.64,0,1.26,1,0,0,4.56,0,0,0,1.12,0,0,2.13,98.71,0,0,9.3,0,0,0,0,27.16,0,1.84,0
 96-106,0,0,4.32,24.76,1.52,34.59,0,0,0,7.5,0,1.58,6.03,1.82,0,1.11,0.9,44.15,0,0,24.35,0,227.4,0,0,43.89,0,14.51,0.62
108-118,0,0,13.37,19.78,0,46.81,0.53,0,1.04,8.24,2.02,0,108.26,1.32,1.18,0,0,322.89,0,0,9.71,0,181.91,0,0,62.65,0,6.6,0
120,0,0,7.54,56.57,0,14.76,7.15,0,0,0,0,0,12.05,0,28.68,0,0,17.42,0,0,18.41,102.35,0,0,0,36.82,2.71,0,0
