stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,iridophores,lateral.line,mesenchyme,neural,notochord,olfactory,spinal.cord,vascular.smooth.muscle
  3-4,14.68,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.34,0,0,0,0
 14-21,0,0.99,0,0,0,0,0,0,0,0.97,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0
 36-46,0,1.83,0,0,0,0,0,0,0,1.96,4.41,1.21,0,0
 48-58,0,0,0,0.97,0,0,0,0,10.76,11.43,7.36,0,0.76,0
 60-70,0,0,0,11.72,0,0,0,0,87.71,4.77,13.41,0,0,0
 72-82,0,0,5,1.75,2.18,0,4.27,0,157.9,13.64,1.06,0,0,1.23
 84-94,0,0,0,2.53,0,0,0,0.8,150.83,10.16,13.45,0,1.93,0.77
 96-106,0,0,1.97,1.2,0,0.97,0,0,78.2,6.02,1.38,0,0,0
108-118,0,0,0,0,0.62,0,0,0,101.76,8.76,2.32,0,0,0
120,0,0,0,0,0,0,0,0,113.78,2.65,3.51,0,18.55,0
